Title	ISBN	Subjects
manual of the art of fiction		Fiction
Celebrated crimes		|Crime||Criminals|
Moribito II	9780545102957	Fantasy
ArchEnemy	9780803731561	|Kings, queens, rulers, etc. -- Fiction||War -- Fiction||Imagination -- Fiction||Characters in literature -- Fiction||Fantasy|
Cerebral ischemia in young adults	9781607416272	|Cerebral ischemia||Young adults -- Diseases||Brain Ischemia||Risk Factors||Stroke||Young Adult|
The hounds and the fury	9780345465474	|Fox hunting||Jane Arnold (Fictitious character)||Fiction|
Hepatica Hawks		|Juvenile fiction||Girls||Fiction|
The return of the native		|Country life||Fiction|
The Honey Cake Mix-Up	9781885222596	|Cake||Juvenile fiction||Birthdays||Fiction|
Maxxed out	9780061456190	|Ghostwriting||Billionaires||Real estate developers||Corrupt practices||Real estate investment||Real estate business||Fiction|
Little Animal Ark: The midnight mouse	9780439419161	|Mice,||Pets,||Fiction|
The alchemist's door	9780765301505	|Golem||Jews||Fantasy fiction||British||Fiction||Rabbis||Alchemists||Astrologers|
A band of angels	9780689848872	|Juvenile fiction||African Americans||Jubilee Singers||Jubilee singers||Fiction|
Damnation Street	9780151012176	|Fiction||Private investigators||Serial murderers||Jim Bishop (Fictitious character)||Scott Weiss (Fictitious character)|
Heaven's net is wide	9781594489532	Fiction
Margaux with an X	9780763624019	|Sexual abuse||Fiction||Family violence||Emotional problems||Sexual abuse victims|
Yumi talks the talk	9780786939923	|Mothers and daughters||Juvenile fiction||Conduct of life||Surprise||Fiction|
The case of the missing cutthroats	9780064406475	|Mystery and detective stories||Ecology||Children's detective and mystery stories||Cutthroat trout||Juvenile fiction||Endangered species||Fiction|
Columbus and the New World		Fiction
Deceit	9780708988138	Fiction
I'm not Julia Roberts	9780446578745	|Stepmothers||Stepfamilies||Fiction|
Keep still	9780312961725	|Fiction||Marti MacAlister (Fictitious character)||Policewomen||African American police|
Penelope Bailey takes the stage	9780761452874	|Theater||Aunts||Sex role||Juvenile fiction||History||Fiction|
Stink and the world's worst super-stinky sneakers	9780763636692	|Fiction||Juvenile fiction||Humorous stories||Smell||Contests|
Wyoming trail	9781862071698	|Dysfunctional families||Fiction|
Younger brother		|Cherokee Indians||Fiction|
Indigo treasure		Fiction
Jubilee	9780553273830	|Fiction||African Americans||History|
The sign of the beaver	9780440479000	|Juvenile fiction||Survival||Frontier and pioneer life||Indians of North America||Fiction|
The Faber book of Christmas stories	9780571133482	|Christmas||Short stories||Children's stories||Christmas stories||Fiction|
Strangers among us	9780385255325	|Police||Karl Alberg (Fictitious character)||Fiction|
The duck in the gun		|Humorous stories||War||Fiction|
Losing Louisa	9780374346652	|Pregnancy||Divorce||Fiction||Sexual ethics|
Pushed	9780142301005	|Conduct of life||Side effects||Drugs||Friendship||Teenagers||Fiction|
Blind fall	9780743293990	|Gay military personnel||Honor||Murder||Mystery fiction||Marines||Revenge||Fiction|
Hide and shriek !	9781434221483	|Graphic novels||Hide-and-seek||Monsters||Fiction|
Queen of hearts	9780374342296	|Coming of age||Sick||Tuberculosis||History||Hospitals||Family life||Fiction|
Home-field advantage	9781442403697	|Haircutting||Twins||Brothers and sisters||Juvenile fiction||Football||Family life||Fiction|
Texas Lily	9780451404688	|Fiction||History|
A kingdom divided	9780312597016	|Kings and rulers||Fiction||History|
Look out for lightning!	9781602707559	|Soccer||Science clubs||Schools||Juvenile fiction||Lightning||Fiction|
