Title	ISBN	Subjects
Rocky and the black eye mystery	9780224027212	|Mystery||Juvenile fiction||Young adult fiction||Kidnapping||Fiction||Gangs|
Lullaby town	9781409138204	|Fiction||Private investigators|
Running	9781506902968	|Artists||Fiction||Secrets|
The Beast House	9781477831335	|Waxworks||Fiction|
Mommy, am I pretty?	9780992034009	|Kindness||Fiction||Confidence|
Absent ... one from another	9781490748931	|African American families||Fiction||Man-woman relationships||Marriage|
Colours	9781407120485	|Colors||Pictorial works||Juvenile fiction||Color||Fiction|
Midnights EBook	9780578367583	|Fiction, horror||Crime|
The conservationist	9780747578246	|Rich people||Fiction||Natural disasters||Social conditions|
The making of a marchioness	9781290077828	|Aristocracy (Social class)||Fiction||Romance fiction|
Stay tuned	9780984725007	|Television producers and directors||Fiction||Man-woman relationships|
A cement of blood	9780140245127	|Women lawyers||Fiction|
A Russian novel	9781846680854	|Psychological fiction||Fiction|
A safe place	9781870516754	|Voyages and travels||Juvenile fiction||Grandmothers||Lost and found possessions||Fiction|
Ben-Hur		Fiction
Brothers of the Badge	9781957263182	|Fiction, action & adventure||Crime|
Murder in the Marsh	9781954483019	|Fiction, mystery & detective, general||Crime|
Game	9781503222786	|Triplets||Fiction||Brothers||Young men||Violence||Man-woman relationships|
Haunted secrets	9780983710332	|Drama||Family secrets||Fiction||Ghosts|
The Jesuit's escape	9780741450449	|Fiction||Missions||Presidents||Assassination||Conspiracies||Politics and government||Jesuits||Maryknoll Sisters|
Girl in the wild	9781612184890	|Fiction||Dating (Social customs)||Romans, nouvelles||Amours|
Coronation talkies	9780141025094	|British||Fiction||American Motion pictures|
Protector	9781956872255	|Crime||Biography|
Your spouse, my sponsor	9781517361181	|Drug traffic||Fiction||Criminals||Man-woman relationships||Street life||Urban fiction||Drogues||Romans, nouvelles||Trafic||Criminels||Relations entre hommes et femmes||Vie dans la rue|
Gull Island and other stories	9781597151238	|Fiction||Boys||Romans, nouvelles|
Ange Pitou		|Fiction||History||Bastille|
The hut builder	9781459616349	|Mountaineering||Fiction|
Hidden prospects	9780985586270	|Man-woman relationships||Fiction||Relations entre hommes et femmes||Romans, nouvelles|
Harmon Creek	9781613094969	Crime
Old Man Is Dead	9781736007068	|Crime||Fiction, action & adventure|
Assassination at high speed	9780982335147	|High speed trains||Fiction||Trains à grande vitesse||Romans, nouvelles|
Island fire	9780989688345	|Teenagers||Fiction||Survival||Adolescents||Romans, nouvelles||Habiletés de survie|
Crime, Violence, and Global Warming	9781315721897	|Climatic changes||Violence||Crime|
A garden of love	9781403753816	|Children||Juvenile fiction||God||Love||Christian life||Gardens||Fiction||Stories in rhyme||Dieu||Romans, nouvelles, etc. pour la jeunesse||Amour||Vie chrétienne||Jardins|
Blue Flame	9798986880709	|Crime||Fiction, general|
The three bears' Halloween	9780545116787	|Halloween||Fiction||Bears||Romans, nouvelles||Ours|
Gunfight at the O.K. Corral	9780754082330	|Fiction||History|
The mystery at Underwood House	9781494458195	|Angela Marchmont (Fictitious character)||Fiction||Families||Interpersonal relations||Decedents' estates||Murder||Investigation||Familles||Romans, nouvelles||Successions et héritages||Meurtre||Enquêtes|
The history of us	9781634761796	|Gay teenagers||Fiction||Basketball players||Automobile travel||Adolescents homosexuels||Romans, nouvelles||Joueurs de basket-ball||Voyages en automobile|
Rattler	9780987089724	|Fiction, short stories (single author)||Fiction||Short stories|
Marysvale	9780984588206	|Monsters||Fiction||Monstres||Romans, nouvelles|
The mountain	9781608207657	|Artists||Fiction||Gay men||Recluses||Artistes||Romans, nouvelles||Homosexuels masculins|
Mouse goes to the beach	9781532712043	|Beaches||Juvenile fiction||Mice||Sea turtles||Behavior||Conservation||Fiction||Turtles||Plages||Romans, nouvelles, etc. pour la jeunesse||Souris||Tortues marines||Mœurs et comportement|
Unconscious Fantasies and the Relational World	9781134912940	|Fantasy||Psychoanalysis||Imagination||Art||Interpersonal relations|
Coyote	9781644565575	|Crime||Fiction, thrillers, general|
Gulliver's travels		|Voyages and travels -- Fiction||Fantasy|
The little duke, or, Richard the fearless		Fiction
Fanny Hervey, or, The mother's choice		|Scottish literature||Orphans||Fiction||Man-woman relationships|
A son at the front		|World War, 1914-1918||Fiction||Americans||American War stories|
Yasodhara	9789387693715	Fiction
Cast Not the Day	9780230711471	Fiction
Gift of Speed	9780732278335	|Fiction||Fiction, general|
Spirits of the Earth	9780732269418	|Fiction||Science fiction, fantasy, horror|
Mr Majestic	9789350095157	Fiction
Ashoka	9789385152955	Fiction
Bouncing	9781626393448	|Basketball stories||Erotic stories||Lesbians||Fiction|
The men of the Burma Road		|World War, 1939-1945||Fiction||War work||English fiction||World War (1939-1945) fast (OCoLC)fst01180924|
The man who stole the crown	9789383762118	Fiction
A lost lady		|Frontier and pioneer life||Fiction||Married women|
Rookwood		Fiction
The soldiers of Dierenstein, or, Love and mercy		|Austrians||Fiction|
Henry the Fourth of France		Fiction
Henry of Northumberland, or, The hermit's cell		Fiction
Richelieu		|Fiction||Tales|
Douglass farm		|Fiction||Social life and customs|
House of canted steps	9781848631021	|Haunted houses||Fiction|
A journey to the centre of the earth		|Fiction||Core||French Science fiction|
The girl of the woods		|Young men||Fiction|
Crime in its biological aspect		|Involuntary sterilization||Crime||Sterilization|
Ethnic Cleansing	9781299469358	|Population transfers||Genocide||Crime|
Naked Room	9780977587063	Fiction
This is for the mostless	9781625492432	|American poetry||American Autobiographical poetry||Essays||Fiction|
Like me		|Children with mental disabilities||Pictorial works||Fiction|
Zack's story	9781844271924	|Marriage||Fiction||Husbands||Christian converts|
Hillbilly Hustle	9798987767658	|Fiction, thrillers, general||Crime|
Talking with Serial Killers	9781635768602	Crime
Above The Ground	9781947290860	|Biography||Crime|
Smart Enough to Murder	9798987830420	|Fiction, mystery & detective, general||Crime|
Three Bodies	9781737566731	Crime
The road to Sardis		|Athens (Greece)||History||Fiction||Juvenile fiction||Histoire||Romans, nouvelles, etc. pour la jeunesse|
Choices and Chances	9798989727919	|Fiction, mystery & detective, general||Crime|
Unraveling the Shadows	9781649539694	Crime
