Title	ISBN	Subjects
The Weeping Werewolf (Moongobble and Me)	9780689857584	|Fairy tales||Juvenile Fiction||Children: Grades 3-4||Coville, Bruce||Science Fiction, Fantasy, & Magic||Children's Books/Ages 4-8 Fiction||Humorous Stories||Children: Grades 1-2||Fiction||Action & Adventure - General||Juvenile Fiction / Humorous Stories||Magicians|
Prometheus	9780691019079	|Ancient Greek religion||Literary studies: general||Myths & mythology||General||Greco-Roman Mythology||Religion||Literature - Classics / Criticism||Fiction||Prometheus (Greek deity)||Antiquities & Archaeology||Folklore & Mythology - Mythology||Classics||Comparative Literature||Literary Criticism & Collections / Ancient & Classical||Mind, Body, Spirit||Archetype (Psychology) in lite||Archetype (Psychology) in literature|
Once In Awhile Hero	9780698205536	|Children: Grades 4-6||Fiction||School stories||Bullies||Schools||Sex role|
The Tomten (Sandcastle Book)	9780698206809	|Juvenile Fiction||Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Holidays & Festivals - Christmas||Holidays & Celebrations - Christmas & Advent||Fairy tales||Winter||Children's 4-8|
Pooh and Piglet Go Hunting	9780525451365	|Classics||Juvenile Fiction / General||Toys||Children: Grades 1-2||Children's 9-12 - Literature - Classics / Contemporary||Fiction||Hunting|
The Last Templar	9780525949411	|Suspense||English Mystery & Suspense Fiction||Fiction||Fiction - Espionage / Thriller||Mystery/Suspense||Action & Adventure||Fiction / Historical||Historical - General||Fiction - General|
James Hogg Selected Stories and Sketches (Association for Scottish Literary Studies)	9780707303222	|Modern fiction||Short stories||Scotland||Social life and customs||Fiction|
Bridge of Sand	9780708925881	|Westerns||Action & Adventure||Fiction - General||Large Print|
Homeplace	9780531071786	|Genealogy||Family - Multigenerational||Juvenile Fiction||Children's 4-8 - Picturebooks||Children: Kindergarten||Family life||Fiction|
Phantasmagoria (Classroom Music)	9780713630725	|Myth & legend told as fiction||Performing arts||Vocal music||Music - General||Juvenile Fine Arts||Juvenile Nonfiction||Children: Grades 4-6||Science fiction||Fantasy||Instruction and study (Elementary)||Music||Songs and music|
Black Spider (European Classics)	9780714501260	|General||Modern fiction||Fiction||Fiction - General|
Teach Us to Outgrow Our Madness	9780714530482	|Fiction anthologies & collections||Modern fiction||Short stories||Fiction||General|
Miss Honoria West	9780552144100	|Modern fiction||Sagas||Romance: Modern||Fiction||Fiction - Romance||Romance - General||FICTION_GENERAL||Fiction / Family Saga||Fiction / General|
Dance of the Vodoo Handbag	9780552145800	|Fantasy||Science Fiction||Fiction||Fiction - Fantasy||Fantasy - Contemporary||Science Fiction - General||ENGLAND_FICTION||FICTION_FANTASY_CONTEMPORARY||Fiction / Fantasy / Contemporary||Fiction / Science Fiction / General|
Thirteenth Valley	9780553050226	|American First Novelists||Fiction||General||Vietnam War, 1961-1975||Vietnamese Conflict, 1961-1975||War stories|
Dog Magic	9780553159103	|General||Non-Classifiable||Laboratory animals||Dogs||Fantastic fiction||Children's 9-12||Fiction||Children: Grades 4-6|
Annie at the Ranch	9780553159608	|Animals - General||Non-Classifiable||Children: Grades 4-6||Fiction||Children's 9-12||New Mexico||Ranch life|
Proteus	9780553190632	|General||Fiction||Fiction - General|
Robinson Crusoe (Bantam Classic)	9780553213737	|Classic fiction||Literature: Classics||Literature - Classics / Criticism||Action & Adventure||Classics||Fiction / Classics|
BLOOD OF THE TIGER	9780553264111	|Fantasy - General||Non-Classifiable||Fantasy||American Science Fiction And Fantasy||Fiction - Fantasy|
Escape from Five Shadows	9780553272024	|Westerns - General||Non-Classifiable||Fiction||Fiction - Western||Westerns|
Dark Journey	9780553291520	|Horror - General||Non-Classifiable||Fiction||Fiction - Horror||Horror|
Caves of Steel (Robot City)	9780553293401	|Science Fiction||Science Fiction - High Tech||Fiction||Fiction - Science Fiction||Science Fiction - Series||Fiction / Science Fiction / General|
Jessie	9780553374650	|Historical - General||American Historical Fiction||Sagas||Fiction||Westerns - General||Fiction - Historical||Fiction / Family Saga||Fremont, Jessie Benton||Fremont, John Charles||1824-1902||Frâemont, Jessie Benton,||Politicians' spouses||Women pioneers|
Promises	9780553442243	|Romance - General||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary|
BAD TO THE BONE (Treasured Tales, No 4)	9780553445008	|Romance - General||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary||Non-Classifiable|
Lover Come Back	9780553446463	|Romance||Romance - Historical||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary||Fiction / Romance / Contemporary|
The Competition (Silver Blades)	9780553481365	|Mothers and daughters||Fiction||Children's 9-12 - Fiction - General||Children: Grades 4-6||General||Juvenile Fiction / General||Clubs||Ice skating|
Carole	9780553486780	|Juvenile Fiction||Friendship||Children: Grades 3-4||Children's 9-12 - Fiction - General||Social Issues - General||Social Issues - Friendship||Horsemanship||Juvenile Fiction / Animals / Horses||Animals - Horses||African Americans||Clubs||Fiction|
Aftershock	9780553492361	|Social Issues - Adolescence||Social Situations - Adolescence||Fiction||Children: Young Adult (Gr. 7-9)||Juvenile Fiction||Children's 12-Up - Fiction - General||Social Issues - General||Social Issues - Death & Dying||Action & Adventure||Action & Adventure - General||Social Situations - Death & Dying||Juvenile Fiction / Social Situations / General||Death||Earthquakes|
Playing for Keeps (Love Stories)	9780553492927	|Fiction||Love & Romance||Juvenile Fiction||Children's 12-Up - Fiction - Romance||Children: Young Adult (Gr. 7-9)||Soccer||Juvenile Fiction / Love & Romance||Dating (Social customs)||Love|
The Golden Age	9780553502657	|Historical - General||United States||Fiction||Abridged Audio - Fiction/Religious||Unabridged Audio - Fiction/General||Audio Adult: Books On Tape||History||General||Fiction / General||1945-1953||1933-1945||Audiobooks|
A Wizard of Earthsea (The Earthsea Cycle, Book 1)	9780553540062	|Fantasy - General||Fiction||Fiction - Fantasy|
Deadly Beloved	9780553572001	|Suspense||Mystery & Detective - Series||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Suspense||Mystery & Detective - General||Mystery fiction|
Betrothed	9780553575668	|Romance - Gothic||Fiction||Fiction - Romance||Romance: Gothic||Historical - General||Romance - Historical||Fiction / Historical|
Traitor's Moon (Nightrunner, Vol. 3)	9780553577259	|Science fiction||Fantasy - General||Fantasy - Series||Fiction||Fiction - Fantasy||Fantasy||Fantasy - Epic||Fiction / Fantasy / Epic|
Babylon Rising	9780553586060	|Religious - Apocalyptic||Fiction - Religious||Fiction||Christian - Futuristic||General||Religious - General|
Home Fires	9780553588279	|Romance - Contemporary||Fiction - Romance||Fiction||Fiction / General||General|
The Secret of the Star Sabre	9780794402488	|Robots||Juvenile Fiction||Children: Grades 2-3||Children's 9-12 - Fiction - Science Fiction||Science fiction||Science Fiction, Fantasy, & Magic||Readers - Chapter Books||Action & Adventure - General||Juvenile Fiction / General||General||Fiction|
The Massacre (Doctor Who)	9780563552611	|Science fiction||Unabridged Audio - Fiction/Science Fiction & Fantasy||Fiction||Abridged Audio - Fiction/Science Fiction & Fantasy||Audio Adult: Books On Tape||Science Fiction - Series||Audiobooks||Science Fiction - Adventure|
Island Of The Women	9780719562211	|Modern fiction||Short stories||General||Fiction|
The Deep End	9780720609035	|Modern fiction||Liddell, Robert - Prose & Criticism||Fiction - General||Fiction||General|
Critical Angle	9780727822888	|Thrillers||Fiction||Fiction - Psychological Suspense||Psychological|
The Guineaman (Kite)	9780727855305	|Historical adventure||Historical fiction||War fiction||Historical - General||Fiction - Historical||Fiction||Sea Stories||Chronological Period/18th Century||Fiction / Historical||Fiction/Sea Stories||Seven Years' War, 1756-1763||General||Sea & Ocean|
The Money Makers	9780727857798	|Modern fiction||Fiction - General||Fiction||General||Fiction / General|
Sins of the Fathers (DCI Charlie Woodend Mysteries)	9780727863959	|Crime & mystery||Mystery And Suspense Fiction||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Police Procedural||England||Fiction / Mystery & Detective / Police Procedural||Fiction / Mystery/ Detective||Police||Woodend, Charlie (Fictitious character)||Mystery & Detective - General|
Naked Witness	9780727874207	|Crime & mystery||Mystery/Suspense||Mystery & Detective - Series||Fiction||Fiction - Mystery/ Detective||Mystery & Detective - Women Sleuths||Fiction / Mystery & Detective / Women Sleuths||Fiction / Mystery/ Detective||Fiction/Mystery & Detective - General||Large type books||Mystery & Detective - Traditional British|
Deadly Obsession	9780727874351	|Crime & mystery||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||Fiction / Mystery/ Detective||Large type books|
The Ginger Man	9780802137951	|Literary||Fiction - General||Fiction||FIC||FIC019000||General|
The Siege	9780802139580	|Siege, 1941-1944||Saint Petersburg||History||Fiction - Historical||Fiction||World War, 1939-1945||Saint Petersburg (Russia)||Historical - General||Literary||Fiction / Literary||Russia|
Bedtime Snuggles With Christopher	9780802453952	|Religious - Christian||Juvenile Fiction||Children: Babies & Toddlers||Children's 4-8 - Picturebooks||Mice||Bedtime & Dreams||Christian life||Fiction|
