Title	ISBN	Subjects
Joan of Arc, the maid of Orleans		Fiction
Maidless in Mumbai	9789385436475	|Working mothers||Fiction||Women household employees|
Kashmir nāmā	9789386348463	Fiction
Land of mercy	9789810967383	|Tibetans||Fiction||Enlightenment (Buddhism)|
The hamlet		|Snopes family (Fictitious characters)||Fiction||Families|
No boundaries	9781626390607	|Lesbians||Fiction|
A date to die	9781635550238	|Lesbian police officers||Fiction||Serial murder investigation|
The power and the glory		Fiction
The president in her towers	9780963753670	|College presidents||Fiction|
The dairyman's daughter		|Christian life||Fiction|
Something new, or, Adventures at Campbell-house		|Feminine beauty (Aesthetics)||Fiction||Social role|
The pilgrim's progress, from this world to that which is to come		|Christian pilgrims and pilgrimages||Fiction|
On union to Christ		|Christian life||Fiction|
Absent	9780143169840	|Families||Fiction||Psychological fiction|
The Lighthouse		|Lighthouses||Fiction||Conduct of life|
Le paysan de Paris		Fiction
Rabbit is rich		|Harry Angstrom (Fictitious character)||Fiction||Middle class men|
Curse of Planet Kuz		|Extraterrestrial beings||Fiction||Science fiction|
Criminology		|Crime||Periodicals|
Two Sisters and the Private Eye	9798218183141	|Fiction, romance, general||Crime|
Revenge at Shepherds Pass	9798891980167	|Crime||Fiction, mystery & detective, general|
The complete short stories		|Social life and customs||Fiction|
Black October and the Murder of State Delegate Turk Scott	9781953048578	|Fiction, mystery & detective, general||Crime|
Burden of Truth	9780999589618	|United states, history||Crime|
The  patchwork girl of Oz.		Fantasy
The  Wizard of Oz.		|Toy and movable books -- Specimens||Fantasy||Toy and movable books|
Make a Wish (Michigan Reading Plus)	9780472031351	|Modern fiction||Language Arts / Linguistics / Literacy||Foreign Language Study||English||Language||Readers||Language Arts & Disciplines / Readers||English as a Second Language||Actors||Fiction||New York||New York (State)|
The CREEPY CREATURE	9780671002701	|Monsters||Horror stories||Children: Grades 4-6||Juvenile Fiction||Children's 12-Up - Fiction - Horror||Mysteries, Espionage, & Detective Stories||Action & Adventure||Action & Adventure - General||Horror & Ghost Stories||Juvenile Fiction / Action & Adventure||Fiction|
Come the Spring (Clayborne Brothers)	9780671003340	|Romance: Historical||Romance - Western||Fiction||Fiction - Romance||Romance - Historical||Fiction / Romance / Historical|
Prom Time	9780671028169	|Fiction||Movie Tie - In||Children: Young Adult (Gr. 7-9)||Juvenile Fiction||Children's 12-Up - Fiction - Fantasy||Witches||Social Issues - Adolescence||Proms||Science Fiction, Fantasy, & Magic||Juvenile Fiction / Movie or Television Tie-In||Charms|
Pogo's Double Sundae	9780671241391	|Form - Cartoons & Comics||Humor||Fiction|
TEA PARTY	9780671505226	|General||Fiction / General||Horror||Fiction - General|
To Love Be Wise	9780671509798	|Mystery & Detective - General||Fiction / Mystery & Detective / General||Fiction||Fiction - Mystery/ Detective|
