Title	ISBN	Subjects
The last rodeo	9780981633206	|Cowboys||Fiction||Ranch life|
Forbidden loves	9780980062939	|Fiction||Social life and customs|
No time like the present	9781408831267	|Fiction||Social conditions|
War at the edge of the world	9781471294532	|Romans||Fiction||History|
Cow and frog	9780618237203	|Cows||Fiction||Readers (Primary)||Picture books||Reading (Elementary)||Frogs|
The Plumed Serpent's gold	9781909645431	|Orphans||Juvenile fiction||Twins||Brothers and sisters||Pirates||Fiction||Adventure and adventurers||Adventure fiction|
Tempestuous Eden	9780821762219	|Fiction||Terrorism|
A permanent member of the family	9780345808127	|Families||Fiction||Social life and customs||Short stories||Manners and customs|
The chosen	9781463766481	|Fiction||Economic conditions||Economic history|
Devil's corner	9781843958376	|Drug traffic||Fiction|
The hope factory	9780755327874	Fiction
Long Spoon Lane	9781846171239	|Thomas Pitt (Fictitious character)||Fiction||Charlotte Pitt (Fictitious character)||Murder||Investigation||Bombings||History|
Love in mid air	9781742375311	|Self-realization in women||Fiction|
The darkness inside	9781407419497	|Alex Rourke (Fictitious character)||Fiction||Private investigators|
Here comes Noddy again	9780007261567	|Noddy (Fictitious character)||Juvenile fiction||Toy Town (Imaginary place)||Stealing||Fiction|
Teen queens	9781853409691	|Bullying||Fiction|
City of Fire	9781451708875	|Fantasy||Magic||Fiction||Dragons||Pele (Hawaiian deity)|
Baskerville	9781780720494	|Fiction||History||Hound of the Baskervilles (Doyle, Arthur Conan)|
Blood and money	9781847824394	|Private investigators||Fiction|
The book of lies	9780340840139	|Family secrets||Fiction|
Charlie Bone and the time twister	9780545174145	|Time travel||Juvenile fiction||Fiction||Magic||Schools||School stories|
A Christmas homecoming	9781444822052	|Fiction||History|
A colt for the kid	9780709094197	|Revenge||Fiction||FICTION||Westerns|
Debits and credits	9780989580472	|Women detectives||Fiction||Women accountants||Murder||Drugs|
Denied	9781848764132	|Vampires||Fiction|
Devil of the Highlands	9781607517290	|Clans||Fiction|
Disciplined by the dom	9781482555394	|Man-woman relationships||Fiction||Sexual dominance and submission|
Emily's heart	9781493697588	|Witches||Fiction|
FallGently	9780981193342	|Friendship||Fiction||Boys||Canadian Adventure stories||Young adult fiction|
Friend of the devil	9781444730173	|Fiction||Police|
Full circle	9780719808999	|Man-woman relationships||Friendship||Fiction||World War, 1914-1918||FICTION||Historical|
Gone	9781444791594	|Detective and mystery stories||Missing persons||Fiction||Teenagers||Crimes against|
The gorse in bloom	9780340640524	|Widows||Fiction||History||Physicians||Cholera|
High-society secret baby	9780263226386	|Romance fiction||Man-woman relationships||Fiction||Billionaires||Large type books|
Hot pursuit	9780753184370	|Witnesses||Fiction||Protection||Organized crime|
Indian summer	9780750537094	|Molly McQueen (Fictitious character)||Fiction|
