Title	ISBN	Subjects
Surrender, Dorothy	9780684848440	|Death||Traffic accidents||Gay men||Fiction||Loss (Psychology)||Conflict of generations||Mothers and daughters||Young women||Friendship||Children|
Dr. Seuss' How the Grinch stole Christmas	9780375810626	|Juvenile fiction||Fiction||Young readers||Christmas|
Triple dare	9780373273812	|Man-woman relationships||Murder||Fiction|
The Burry Man's day	9780786717408	|Social life and customs||Murder||Investigation||Fiction|
A dangerous man	9780345481337	|Murder for hire||Russian American criminals||Fiction|
Forest fever	9780373028542	|Man-woman relationships||Fiction|
Lucy's Launderette	9780373250349	|Young women||Self-service laundries||Fiction|
Ascent to the stars	9780505519337	Fiction
The Handmaid's Tale	9780395404256	|Man-woman relationships||Misogyny||Fiction||Women||Protected DAISY|
Masquerading the Marquess	9780060587871	|Regency||Women journalists||Fiction|
Night of sorrows	9780393058253	|Fiction||Conquerors||Princesses||Aztecs||History|
The very worst monster	9780688040109	|Juvenile fiction||Fiction||Brothers and sisters||Monsters|
Emily's First 100 Days of School	9780786805075	|Animals||First day of school||Schools||Rabbits||Counting||Juvenile literature||Fiction|
Habeas campus	9780373264476	|Fiction||Angela Matelli (Fictitious character)||Italian American women||Zombies||Women private investigators|
The natural disorder of things	9780374219611	|Social conditions||Family relationships||Psychology||Single men||Fiction|
The penny ferry	9780395352885	|Physicians||Doc Adams (Fictitious character)||Fiction|
Untouchable (Private #3)	9781416918752	|Man-woman relationships||Boarding schools||Juvenile fiction||Friendship||Teenagers||Fiction|
Lefty Carmichael has a fit	9781551431666	|Juvenile fiction||Epilepsy||Fiction|
Ice cream soup	9780679807902	|Ice cream, ices||Fiction|
The catalogue of the universe	9780689853531	|Fathers and daughters||Love||Mothers and daughters||Juvenile fiction||Friendship||Fiction|
Soul catcher	9780061340727	|Fugitive slaves||Slavery||Fiction|
The Schwa was here	9780525471820	|Self-perception||Juvenile fiction||Friendship||Fiction|
The Tonto woman and other western stories	9780385323864	|Western stories||Frontier and pioneer life||Fiction|
No space for further burials	9781936070602	|Americans||Fiction||Afghan War, 2001-||Prisoners and prisons|
Slo-Mo!	9780385488846	|Diary fiction||Sports stories||Satire||Basketball players||Fiction|
Redwall	9780441005482	|Fantasy||Mice||Animals||Juvenile fiction||Fiction|
Bedtime eyes	9780312352264	|Interracial dating||African Americans||Fiction|
Frames	9780765315755	|Motion pictures||Homicide||Women law students||Greed (Motion picture)||Archivists||Motion picture film||Preservation||Fiction||Conservation and restoration|
Savage survival	9781933353661	|Extraterrestrial beings||Human-alien encounters||Fiction|
Jingle bells	9781561455904	|Juvenile fiction||Fiction|
Air show!	9781423111856	|Fiction||Airplanes||Piloting||Air shows|
Breath of angel	9780307730121	|Fantasy||Angels||Fiction|
The smoky corridor	9780375865114	|Buried treasure||Family life||Haunted places||Stepmothers||Zombies||Schools||Ghosts||Fiction|
Anatomy of a boyfriend	9780440239444	|Dating (Social customs)||High schools||Schools||Fiction||Family life||Sex|
Victor Hugo's The hunchback of Notre Dame	9781616416140	|Notre-Dame de Paris (Cathedral)||Juvenile fiction||People with disabilities||History||Fiction|
On the nickel	9781410438041	|Large type books||Single mothers||Golfers||Women accountants||Fiction|
Fox evil	9780399150548	|Fox hunting||Villages||Police||Fiction|
