Title	ISBN	Subjects
The Crystal Throne	9781401010270	|Fantasy||Modern fiction||Fantasy - General||Fiction||Fiction - Fantasy|
Lost in the Elysian Fields	9781401025793	|Historical fiction||Modern fiction||Historical - General||Fiction||Fiction - Historical|
The Variable Man	9781401043353	|General & Literary Fiction||Humorous||Fiction||Fiction - General|
Rachel's Promise	9781401053994	|Modern fiction||General||Fiction||Fiction - General|
Memories and More	9781401071837	|General & Literary Fiction||Short stories||Short Stories (single author)||Fiction||Fiction - General|
Family Passions	9781401098117	|Sagas||Fiction||Fiction - General|
Blood and Water (DC Comics Vertigo)	9781401201753	|Fiction / Graphic Novels||Graphic Novels - Horror||Comics & Graphic Novels||Fiction - Horror||Fiction|
Dreams in the Night	9780952547747	|Short stories||Short Stories (single author)||Fiction||Fiction - General|
Either Way Dead	9780953173754	|War fiction||Historical - General||Fiction / General||Fiction / Historical||Fiction||Fiction - Historical|
Wayward	9780961075002	|General||Fiction||Fiction - General|
I Know What You Look Like Naked	9780961841638	|General||Fiction - General||Fiction|
The Seventh Horizon	9781403303660	|General & Literary Fiction||General||Fiction||Fiction - General|
O Why Should the Spirit of Mortals Be Proud	9781403309785	|Historical fiction||Historical - General||Fiction - Historical||Fiction|
The Small Hours	9781403328694	|Short stories||Short Stories (single author)||Fiction / Short Stories (single author)||Fiction||Fiction - General|
In the Thick of It	9781403333711	|Fiction anthologies & collections||Science fiction||Science Fiction - General||Fiction - Science Fiction||Fiction|
To Mine Own Selves Be True	9781403333810	|General & Literary Fiction||General||Identity||Lesbians||Relations with heterosexuals||Fiction - General||Fiction|
The Golden Crane	9781403342201	|General & Literary Fiction||General||Fiction||Fiction - General|
Mr. Protestant	9781403350985	|General & Literary Fiction||Christian - General||Religious - General||Fiction||Fiction - Religious|
The Coke Twins	9781403355959	|General & Literary Fiction||General||Fiction||Fiction - General|
Mama's Pick	9781403359377	|General & Literary Fiction||General||Fiction / General||Fiction||Fiction - General|
Back in the Daze	9781403359858	|General & Literary Fiction||General||Fiction - General||Fiction|
Wow	9781403397980	|General & Literary Fiction||General||Fiction||Fiction - General|
Flying U Ranch	9781404303171	|General & Literary Fiction||Modern fiction||General||Fiction||Fiction - General|
Can Such Things Be	9781404343757	|Horror & ghost stories||Modern fiction||Horror - General||Fiction||Fiction - Horror|
The Emperor	9781404349575	|General & Literary Fiction||General||Fiction||Fiction - General|
The Haunted Man and the Ghost's Bargain	9781404365865	|Classic fiction||Classics||Fiction||Literature - Classics / Criticism||Literature: Classics|
First and Last Things	9781404366312	|General & Literary Fiction||General||Fiction||Fiction - General|
Supplemental Nights	9781404380875	|Myth & legend told as fiction||Classics||Fairy Tales, Folklore & Mythology||Fiction||Literature - Classics / Criticism||Literature: Classics|
Busy Bear	9781404823969	|Juvenile Easy Readers||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Animals - General||Nature & the Natural World - Seasons||Readers - Beginner||Animals - Bears||Nature & the Natural World - Weather||Animals||Bears||Fiction||Hibernation||Infancy|
The False Gods	9781406502114	|General & Literary Fiction||Suspense||Fiction||Fiction - Espionage / Thriller||Mystery/Suspense|
Bunny Brown and His Sister Sue at Camp Rest-A-While (Illustrated Edition) (Dodo Press)	9781406503920	|Fiction||General||Juvenile Fiction / General||Children's Books/All Ages||Literature - Classics / Criticism|
The Village Rector	9781406506907	|General & Literary Fiction||General||Fiction||Fiction - General|
A Kentucky Cardinal	9781406507935	|Historical fiction||Historical - General||Fiction||Fiction - Historical|
The Sisters (Dodo Press)	9781406516258	|19th century fiction||General||Fiction / General||Fiction||Fiction - General|
Happy Birthday	9780861129898	|Board books||English language readers||Fiction||Holidays & Celebrations - Other, Nonreligious||Sale Books||Sale Children - Children's Books - Baby / Pre-School|
Spotty Sally (O'Brien Pandas)	9780862786403	|Fiction||Picture books|
Major Vigoureux (Dodo Press)	9781406539882	|General||Fiction / General||Fiction||Fiction - General|
Veronica and Other Friends (Dodo Press)	9781406578461	|Fiction||General||Juvenile Fiction / General||Children's Books/All Ages|
