Title	ISBN	Subjects
The Necklace and Other Tales	9780679641728	|Maupassant, Guy de,||Translations into English||French Novel And Short Story||Fiction - General||Short stories||Fiction||Short Stories (single author)||Literary||19th century fiction||Fiction / General||Maupassant, Guy de||Modern fiction||1850-1893||Classics|
Collected Stories of John O'Hara	9780517648933	|Non-Classifiable||Sale Books||United States||Nonfiction - General||20th century||Short stories||Social life and customs||Fiction|
Velveteen Rabbit	9780517651315	|Literature: Texts||Nonfiction - General||Fiction||Juvenile Fiction||Nonfiction||Children: Kindergarten||Toys||Non-Classifiable||Sale Books||Classics||Animals - Rabbits||Toys, Dolls, & Puppets|
BABY LAMB CHOP LOVES ANIMALS (Baby Lamb Chop Board Books)	9780679817239	|Animals||Non-Classifiable||Children: Preschool||Fiction||Animal sounds||Lambs|
Sing a Whale Song Book and Cas	9780679834786	|Whales||Pollution||Preschool Picture Story Books||Children's Audio - Music||Audio: Juvenile||Non-Classifiable||Environmental protection||Fiction||Marine pollution|
Young Indiana Jones Chronicles (The Young Indiana Jones Chronicles, TV-8)	9780679843894	|Prisoners and prisons, German||General||Children: Young Adult (Gr. 7-9)||Children's 9-12 - Fiction - General||World War, 1914-1918||Juvenile fiction||Gaulle, Charles de||Non-Classifiable||1890-1970||Gaulle, Charles de,||Adventure and adventurers||Fiction|
Kylie Confidential	9780684020938	|General||Biography / Autobiography||Fiction||Composers & Musicians - Pop||Women||Biography & Autobiography / General|
Hungry for Home	9780684836607	|General & Literary Fiction||Modern fiction||Literary||Fiction - General||Fiction||Fiction / General||General|
The Problem With Pulcifer	9780688115708	|General||Television||Children's 4-8||Children: Grades 2-3||Books and reading||Fiction|
An Ocean World	9780688175184	|Social Issues - Friendship||Whales||Juvenile Nonfiction||Children's 4-8 - Picturebooks||Stories without words||Children: Preschool||Social Situations - Friendship||Science & Nature - Earth Sciences - Water (Oceans, Lakes, Etc.)||Action & Adventure||Action & Adventure - General||Animals - Marine Life||Juvenile Nonfiction / Nature / Water (oceans, lakes, etc.)||Fiction|
Ghosts in the Gallery (Aladdin Mystery)	9780689839153	|Orphans||Juvenile Fiction||Fiction||Children's 9-12 - Fiction - Mysteries / Detective||Children: Grades 4-6||Mysteries, Espionage, & Detective Stories||Family - Multigenerational||Historical - Europe||Juvenile Fiction / Mysteries & Detective Stories||Grandfathers|
Sheltie in Danger (Sheltie)	9780689840289	|Rescue work||Social Situations - General||Juvenile Fiction||Family - General||Children's 9-12 - Fiction - General||Social Issues - General||Children: Grades 1-2||Shetland pony||Ponies||Juvenile Fiction / General||Animals - Horses||Humorous Stories||Fiction|
Guess Who's Coming, Jesse Bear	9780689848209	|Fiction||Cousins||Children's Books/Ages 4-8 Fiction||Juvenile Fiction||Stories in rhyme||Children: Preschool||Family - General||Animals - Bears||Concepts - Time||Juvenile Fiction / Animals / Bears||Bears|
Pigs on the Move 	9780689853432	|Juvenile Fiction||Travel||Fiction||Children: Grades 2-3||Children's Books/Ages 4-8 Fiction||Pigs||Measurement||Holidays & Celebrations - Christmas||Animals - Pigs||Concepts - Time||Holidays & Celebrations - Christmas & Advent||Juvenile Fiction / Concepts / Time||Distances|
A Recipe for Valentine's Day	9780689858956	|Preschool Concepts||Specimens||Holidays & Celebrations - Valentine's Day||Valentine's Day||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||School & Education||Children: Grades 1-2||Children: Kindergarten||Rebuses||Juvenile Fiction / Holidays & Festivals / Valentine's Day||Toy and movable books||Concepts - General||Fiction|
My Cup Runneth Over	9780689865510	|Social Issues - Self-Esteem & Self-Reliance||Weight control||Juvenile Fiction||Fiction||Children's 12-Up - Fiction - General||Social Situations - Self-Esteem & Self-Reliance||Children: Young Adult (Gr. 7-9)||Social Situations - Adolescence||Social Issues - Adolescence||Juvenile Fiction / Social Situations / Adolescence||Fashion shows||Humorous Stories||Interpersonal relations|
Pied Piper (Charmed)	9780689868535	|Fantasy||Science fiction||Science Fiction, Fantasy, & Magic||Juvenile Fiction||Fiction - Fantasy||Science Fiction / Fantasy (Young Adult)||Children: Young Adult (Gr. 10-12)||Occult||Movie Tie - In||Fantasy - Contemporary||Movie-TV Tie-In - General||Fiction / Fantasy / Contemporary||Fiction : Movie-TV Tie-In - General||Juvenile Fiction / Movie or Television Tie-In||Witchcraft||General||Demonology||Fiction|
The Amsterdam Connection	9780521795029	|ELT audio-visual (video & audio cassettes)||ELT graded readers||Foreign Language Study||Fiction - General||English||Language||General||Foreign Language Study / English as a Second Language||Foreign Language - Dictionaries / Phrase Books||English as a Second Language||English language||Fiction||Readers (Adult)||Textbooks for foreign speakers||Women journalists|
Lucky's Pirate Adventure	9780696234231	|Juvenile Fiction||Children's 4-8 - Fiction - General||Children: Kindergarten||Activity Books - General||Juvenile Nonfiction / Activity Books||Readers - Intermediate||Adventure and adventurers||Fiction||Pirates||Sound effects books||Specimens|
Dimension of dream	9780523004747	|Dreams||Fiction||Science fiction||Space and time|
Reluctant Queen	9780709075615	|Historical fiction||Romance - General||Romance: Modern||Fiction|
Stress Family Robinson	9780551029446	|Christianity||Marriage, family & other relationships||Modern fiction||Children's 12-Up - Fiction - Religious||English||Fiction||Christian - General||FICTION GENERAL GENERAL||Fiction / Religious||Religious - General|
More Pricks Than Kicks (Calderbooks)	9780714507057	|Drama texts: from c 1900 -||Short stories||Beckett, Samuel - Prose & Criticism||Literature - Classics / Criticism||Fiction||Classics||Short Stories (single author)|
A Class Apart	9780552998222	|Modern fiction||Fiction - General||Fiction||Contemporary Women||General||HUMOR_GENERAL||Humor / General|
Tale/jemima Pud/duck	9780553152517	|Non-Classifiable||Domestic animals||Ducks||Children's All Ages||Fiction||Children: Babies & Toddlers|
Desert Dog	9780553153248	|Non-Classifiable||Arizona||Dogs||Fiction||Nonfiction - General|
Dude Ranch (Saddle Club(R))	9780553157284	|General||Children's 9-12 - Fiction - General||Children: Grades 4-6||Juvenile Fiction / General||Fiction||Horses||Ranch life|
Deathmate	9780553203554	|General||Fiction - General||Fiction|
An Unwilling Guest, #65	9780553247367	|Romance - General||Non-Classifiable||Fiction||Fiction - Romance|
LION IN EGYPT, THE (The Children of the Lion Series No 4)	9780553265941	|Historical - General||Non-Classifiable||Fiction - Historical||Fiction|
Fatal Inversion,a	9780553272499	|Mystery & Detective - General||Non-Classifiable||Mystery and detective stories||Fiction - Mystery/ Detective||Fiction|
Season of Swans, A	9780553284126	|Historical - General||Non-Classifiable||Fiction||Fiction - Historical|
AMY'S TRUE LOVE	9780553289633	|Teenage romance||Interpersonal relations||General||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 7-9)||Juvenile Fiction / General||Fiction||High schools||Homosexuality|
SIR ORSON TO THE RESCUE (U.S. Acres)	9780553347654	|Children: Babies & Toddlers||Non-Classifiable||Domestic animals||Fiction||Books and reading||Knights and knighthood||Pigs|
SIREN SONG	9780553444568	|Romance - General||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary||Non-Classifiable|
Fire Sea	9780553470284	|Science Fiction - General||Non-Classifiable||Audio - Science Fiction / Fantasy||Fiction||Audio Adult: Books On Tape|
Bittersweet	9780553479331	|General & Literary Fiction||Romance - Contemporary||Audiobooks||Fiction||Abridged Audio - Fiction/Romance||Audio Adult: Books On Tape||Fiction / General||General|
Trouble in Paradise	9780553525250	|Mystery & Detective - Series||Audiobooks||Fiction||Audio - Mystery||Audio Adult: Other||Thrillers||Mystery & Detective - Police Procedural||Fiction / General|
Solo Command (Star Wars: X-Wing Series, Book 7)	9780553525397	|Science Fiction - Star Wars||Audiobooks||Fiction||Abridged Audio - Fiction/Science Fiction & Fantasy||Audio Adult: Other||Science Fiction - Adventure||Fiction / Science Fiction / Adventure|
No Control	9780553576597	|Crime & mystery||Mystery/Suspense||Fiction||Fiction - General||Mystery & Detective - Women Sleuths||Fiction / Suspense||Suspense|
The First Americans	9780553618297	Fiction
Starfist	9780553713206	|Science Fiction - General||Audio Adult: Books On Tape||Fiction||Abridged Audio - Fiction/Science Fiction & Fantasy||Fiction / Science Fiction / General||Audiobooks|
The Inheritors	9780571225477	|Modern fiction||Literary||Fiction|
Hello Peter Rabbit (Peter Rabbit Seedlings) (Peter Rabbit Seedlings)	9780723247999	|Board books||Character books||Early learning / early learning concepts||Interactive & activity books & packs||Picture books||Juvenile Fiction||Fiction||Children's Baby - Boardbooks||Children: Preschool||Textured books||Rabbits||General||Juvenile Fiction / General||Animals - Rabbits||Interactive Adventure||Specimens|
Alien Nation	9780727817310	|English Science Fiction And Fantasy||Fiction||Science Fiction||FIC028010||FIC||Fantasy||Science Fiction - Adventure|
A Chance Encounter	9780727822543	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Historical fiction||General|
Heart on Fire	9780727854803	|Romance: historical||Fiction||Mystery/Suspense||Mystery & Detective - General|
And a Golden Pear	9780727874474	|Modern fiction||Fiction||Fiction - General||General||20th century||England||Farm life||Fiction / General||Large type books||Social conditions|
The Player	9780802135131	|Modern fiction||Popular American Fiction||Fiction - General||Fiction||General||Fiction / General|
Flight	9780802170378	|Novel||Fiction||Fiction - General||General||Fiction / Literary||Social Science / Native American Studies||Foster children||Indians of North America|
