Title	ISBN	Subjects
The Lady of Sorrows	9781408802236	|Icons||Fiction||Murder||Investigation||Islands|
The American	9780191588808	|Americans||Fiction||Courtship||Amours||Romans, nouvelles|
The fire bug connection	9780618062782	|Insects||Fiction||Science||Experiments||Ecology||Detective and mystery stories|
Free range	9780977509324	|Fiction||Social life and customs||Anecdotes||Women authors|
Cornwall Cree Nation	9780955390401	|Physicians (General practice)||Fiction||Indigenous peoples|
The Water Babies	9780486450001	|Fairy tales, folk tales, fables, magical tales & traditional stories||Fiction||Chimney sweeps||Juvenile Fiction||Children's 9-12 - Fiction - General||Children: Grades 4-6||Classics||Juvenile Fiction / Classics||Legends, Myths, & Fables - General||Fairy tales|
Herzog	9780670369133	|Fiction||Bellow, Saul||Fiction / General||Herzog||Middle-aged men||Jewish men||Jews||College teachers||United States|
A Valentine for Ms. Vanilla (Hello Reading)	9780670842742	|Teachers||Juvenile Easy Readers||Children's 4-8||Children: Grades 1-2||Valentine's Day||General||Juvenile Fiction / General||Fiction||Schools|
Motley	9780670877300	|Early learning / early learning concepts||Animals - Cats||Juvenile Fiction / General||Cats||Children's 4-8 - Picturebooks||Fiction||Children: Kindergarten|
Thirst	9780671034825	|Modern fiction||Literary||Fiction - General||Fiction||Action & Adventure||Short Stories (single author)||20th century||Fiction / Adventure||Fiction / Short Stories (single author)||Fiction-Action & Adventure||Short stories, American||Short stories|
For the Birds (Full House : Michelle and Friends)	9780671042028	|Social Issues - Friendship||Movie Tie - In||Children: Grades 2-3||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Sports & Recreation - General||Social Situations - Friendship||Schools||Juvenile Fiction / Movie or Television Tie-In||Children's 9-12 - Fiction - General||Bird watching||Birds||Fiction|
Spanking Watson (Kinky Friedman Novels)	9780671047429	|Crime & mystery||Modern fiction||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - General||Fiction / Mystery & Detective / General|
The Mile High Club (Kinky Friedman Novels)	9780671047436	|Adventure / thriller||General & Literary Fiction||Modern fiction||Mystery & Detective - General||Fiction - Mystery/ Detective||Fiction||Humorous||Fiction / Mystery & Detective / General||Thrillers||Mystery fiction|
After the Planners	9780671215309	|General||Non-Classifiable||Housing||Fiction - General||Fiction|
New Lives, New Loves (Nancy Drew on Campus 1)	9780671527372	|Fiction||Children's 12-Up - Fiction - Mystery||Children: Young Adult (Gr. 7-9)||Mysteries, Espionage, & Detective Stories||Juvenile Fiction / General||College students||Mystery and detective stories|
Hope and Glory	9780515124767	|Modern fiction||Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / General|
Old Mo	9780516247625	|Juvenile Performing Arts||Juvenile Easy Readers||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Stories in rhyme||Children: Grades 1-2||Readers - Beginner||Cats||Animals - Cats||Fiction|
Wanton Angel	9780671621971	|Romance - General||Fiction / Romance / General||Fiction - Romance||Fiction|
A Book of Common Prayer	9780671638085	|General||Fiction / General||Fiction - General||Fiction|
Journey Home	9780671668853	|General||Fiction / General||Fiction - General||Fiction|
Mr. Digby's Bad Day	9780671678029	|General||Baby books||Non-Classifiable||Fiction||Children's Books/Ages 9-12 Fiction||Umbrellas||Umbrellas and parasols||Children's 9-12||Children: Babies & Toddlers|
DNA disaster	9780671678265	|General||Juvenile Fiction / General||Fiction||Children's 12-Up - Fiction - General||Inventions||Science fiction||Children: Grades 4-6|
Something in the Air	9780671683566	|Mystery and detective stories||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - General||Fiction / Mystery & Detective / General|
BUNYA THE WITCH (RE-ISSUE)	9780671684228	|General||Non-Classifiable||Fiction||Children's 4-8||Witches||Children: Babies & Toddlers|
ARE THERE SEALS IN THE SAND BOX	9780671705398	|Seals (Animals)||General||Children's Baby/Preschool||Children: Preschool||Juvenile Fiction / General||Fiction||Parks||Seals|
Fatal Secrets	9780671709570	|Horror & Ghost Stories||Juvenile Fiction / General||Death||Fiction||Children's Books - Young Adult Fiction||Horror||Children: Young Adult (Gr. 10-12)|
True Grit	9780671763800	|Teenage girls||Fiction||Nonfiction||Nonfiction - General||United States marshals||Non-Classifiable||Fathers||Death|
Pitcairns Island	9780671776527	|Non-Classifiable||Fiction|
Five Past Midnight	9780671798154	|Roosevelt, Franklin D.||Fiction||Fiction - Espionage / Thriller||World War, 1939-1945||Espionage/Intrigue||Historical - General||Fiction / General||(Franklin Delano),||1882-1945|
Task Force Blue (Rogue Warrior )	9780671799588	|Adventure / thriller||Rogue Warrior (Fictitious character)||American Mystery & Suspense Fiction||Fiction||Fiction - Espionage / Thriller||Prevention||War & Military||Special forces (Military science)||Espionage/Intrigue||Fiction / General||Men's Adventure||Terrorism|
Wifey	9780671825157	|Erotic fiction||Fiction||Housewives||Non-Classifiable|
The Terrible Turnoff and Me	9780671868451	|Readers - Beginner||Television||Fiction||Children's 9-12||Children: Grades 4-6||Juvenile Fiction||Juvenile Fiction / General||Family life||Schools|
The Hunter (The Forbidden Game, Vol. 1)	9780671874513	|Horror & ghost stories, chillers||Games||Children's 12-Up - Fiction - Horror||Children: Young Adult (Gr. 10-12)||Horror & Ghost Stories||Juvenile Fiction / General||Fiction||Horror stories|
Constance Stumbles (Rookie Readers)	9780516420868	|Readers - Beginner||Bicycles and bicycling||Children's 4-8 - Fiction - General||Fiction||Children: Babies & Toddlers|
Paulette	9780517079133	|Non-Classifiable||Sale Books||Nonfiction - General||Fiction|
The Vanishing Smile	9780517267547	|Fiction||Mystery & Detective - General||SALE BOOKS||Fiction / Mystery & Detective / General||Fiction - Mystery/ Detective|
Five Complete Miss Marple Novels	9780517321775	|Sale Adult - Fiction - Mystery / Detective||Marple, Jane (Fictitious character)||Mystery/Suspense||Women detectives||Non-Classifiable||Sale Books||Fiction||Detective and mystery stories, English||England|
Bluebell & The Runaway Balloon (Make Your Own Adventure)	9780517491843	|Non-Classifiable||Sale Books||Fiction||Literary recreations||Nonfiction||Balloons||Children: Grades 1-2|
Rabbit Finds a Way	9780517520307	|General||Non-Classifiable||Fiction||Food||Rabbits||Children's All Ages||Juvenile Fiction||Children's 4-8|
Shadows in Bronze	9780517576120	|Mystery/Suspense||History||English Historical Fiction||Rome||Private investigators||Mystery & Detective - General||Falco, Marcus Didius (Fictitio||Non-Classifiable||Falco, Marcus Didius (Fictitious character)||Fiction||Helena Justina (Fictitious cha||Helena Justina (Fictitious character)|
Molly & Mimi The Mouse Twin	9780517653128	|Twins||General||Non-Classifiable||Sale Books||Parties||Children's 9-12||Fiction||Birthdays||Mice|
Five Min Bunny Tales for Bedtime	9780517664711	|Fiction||Non-Classifiable||Sale Books||Rabbits||Short stories||Bargain Books|
Cry the Beloved Country	9780684104508	|Non-Classifiable||Fiction|
The Ascent	9780688108885	|Tibet (China)||Mountaineers||Popular American Fiction||Fiction - General||Fiction||General||Everest, Mount (China and Nepa||Everest, Mount (China and Nepal)||Mountaineering|
Where's the Baby	9780688170639	|Juvenile Fiction||Fiction||Cleanliness||Children's 4-8 - Picturebooks||Children: Preschool||Monsters||Humorous Stories||Family - Siblings||Family - New Baby||Babies|
Sign of the Dove	9780689824494	|Science Fiction, Fantasy, & Magic||Fantasy||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Young Adult (Gr. 7-9)||JUV||JUV037000||Juvenile Fiction / Science Fiction, Fantasy, Magic||Dragons||Fiction|
Blue's Best Rainy Day	9780689832796	|Juvenile Fiction||Play||Fiction||Children's Books/Ages 4-8 Fiction||Nature & the Natural World - Weather||Children: Preschool||Movie Tie - In||Interactive Adventure||Animals - Dogs||Juvenile Fiction / Movie or Television Tie-In||Children's 4-8 - Picturebooks||Stories in rhyme||Dogs|
Goblin Giggles	9780689854569	|Humorous Stories||Toy and movable books||Goblins||Children: Grades 1-2||Children's Books/Ages 4-8 Fiction||Specimens||Children: Kindergarten||Juvenile Fiction||Holidays & Celebrations - Halloween||Juvenile Fiction / Holidays & Festivals / Halloween||Fiction|
Counting Kisses	9780689856587	|Fiction||Juvenile Fiction||Counting||Preschool Concepts||Children's Books/Baby-Preschool||Holidays & Festivals - Valentine's Day||Children: Preschool||Holidays & Celebrations - Valentine's Day||Family - New Baby||Concepts - Counting & Numbers||Juvenile Fiction / Holidays & Festivals / Valentine's Day||Kissing||Babies|
The Haunted Schoolhouse	9780689871504	|Concepts - General||Holidays & Celebrations - Halloween||Juvenile Fiction / Holidays & Festivals / Halloween||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Fiction||Lift-the-flap books||Monsters||Specimens||Toy and movable books||Children: Grades 4-6|
Message in a Bottle (Love Letters)	9780689872242	|Social Issues - Friendship||Love & Romance||Fiction||Juvenile Fiction||Children's 12-Up - Fiction - Romance||Teenagers||Children: Young Adult (Gr. 7-9)||Social Situations - New Experience||Social Issues - Emotions & Feelings||Juvenile Fiction / Love & Romance||Dating (Social customs)||Friendship|
Macbeth	9780521625395	|English literature: Shakespeare texts||Shakespeare plays, texts||Unabridged Audio - Drama/Poetry||Fiction||Literary||Shakespeare||Literary Collections / General||Macbeth,--King of Scotland,--11th cent.--Drama|
The Lady in White	9780521666206	|ELT graded readers||Language readers||Language||Foreign Language Study||Foreign Language - Dictionaries / Phrase Books||English||English as a Second Language||General||Foreign Language Study / English as a Second Language||English language||Fiction||Readers (Adult)||Television producers and directors||Textbooks for foreign speakers|
Tomie DePaola's Book of Bible Stories	9780698119239	|Early learning / early learning concepts||Fiction||Religious education / world faiths||Religious - General||Children: Kindergarten||Juvenile Fiction||Children's Books/Ages 4-8 Nonfiction||Religion - Biblical Stories||Juvenile Nonfiction / Religion / Bible / General||Bible stories||Bible stories, English|
Five Nice Mice	9780698400580	|Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Animals - Mice  Hamsters  Guinea Pigs  etc.||Juvenile Fiction / General||Animals - Frogs & Toads||Performing Arts - Music||Concerts||Fiction||Frogs||Mice|
