Title	ISBN	Subjects
Fortune's daughter	9780750527132	|Women singers||Mothers and daughters||Social conditions||Family relationships||Theatrical companies||Illegitimate children||Fiction|
Evangeline	9781741148091	|Fiction||Mystery and detective||Fiction, mystery & detective, general||Fiction, thrillers|
River Wife	9781742374796	|Fiction||Fiction, romance, general|
Markham Thorpe	9780755331574	|Fiction||Household employees||Social classes|
Garden of the dead	9780727899378	|Large type books||Cemeteries||Fiction||Grave robbing||Cemetery managers|
Tragic toppings	9781445828497	|Private investigators||Fiction||Doughnuts||Suzanne Hart (Fictitious character)||Coffee shops|
A touch of Texas	9780373185504	|Single mothers||Man-woman relationships||Fiction|
The Duke and His Duchess / The Courtship	9781492626176	|Fiction||Man-woman relationships||Marriage||Nobility||Mate selection|
The tycoon's trophy wife	9780263189339	|Fiction||Large type books||Man-woman relationships||Marriage||Wives|
Red Man down	9780727897503	|Sarah Burke (Fictitious character)||Women detectives||Fiction||Police shootings||Ex-police officers|
The irresistible inheritance of Wilberforce	9781405686686	|Friendship||Fiction||Leisure class||Wine cellars|
Greymist		|Fiction||Dogs||Field trials|
Otto & Uncle Tooth adventures	9780385375658	|Juvenile fiction||Fiction||Animals||Mystery and detective stories|
Hot ice	9781480405523	|Assassins||Murder||Fiction|
Time of attack	9780786031825	|Assassins||Terrorists||Fiction|
Summer on the short bus	9780762449514	|Juvenile fiction||Camps||Love||People with disabilities||Fiction|
The fool returns	9781937536855	|Cabala||Jews||Fiction|
Secrets of the Ladies Mission Society	9781630264963	|Women||Fiction|
The rivals of Versailles	9781501102998	|Kings and rulers||Court and courtiers||Fiction||FICTION / General||Paramours||History||FICTION / Historical||FICTION / Literary|
Big wish	9780545904100	|Conduct of life||Juvenile fiction||Family life||Fiction||Wishes||Schools||Meteors||Families|
Absolute risk	9781590587713	|Private investigators||Murder||Investigation||Conspiracies||Terrorism||Fiction|
Verdi, oder, die Macht des Schicksals		|Musical fiction||Fiction|
Nothing to fear	9781434247032	|Scarecrows||Juvenile fiction||Graphic novels||Halloween||Comic books, strips||Fiction||Supervillains||Superheroes|
Babur	9788129137791	|Fiction||Mogul Empire||History|
Puck of Pook's Hill		|Fiction||Space and time||History|
In the land of birdfishes	9781443407373	|Twin sisters||Fiction||Dysfunctional families||Child abuse||Blind women||Canadian fiction|
Cicada	9781743315293	|Women||Fiction||Social conditions||Survival||Social life and customs|
The Folded World	9781476702827	|Fiction||Interplanetary voyages||Space vehicles||Star Trek fiction|
The Slab	9781439184080	|Imaginary wars and battles||Fiction||Space warfare||Soldiers|
Blues along the river	9781616263683	|Married people||Fiction||Man-woman relationships|
Wide asleep	9781477817971	|Gay men||Fiction||Violence||Time travel|
Unbound	9781477818329	|Vampires||Fiction||Young women|
The hound of the Baskervilles	9780615767697	|Fiction||Private investigators||Blessing and cursing||Dogs|
