Title	ISBN	Subjects
Long Prospect	9781921961762	Fiction
When Blackbirds Sing	9781922148995	Fiction
Whisper Hollow	9781608617609	|Young women||Fiction||Soldiers||History|
The Rabbit Back Literature Society	9781908968982	|Authors||Fiction||Societies||Teachers||Authorship|
A land apart	9780957615052	Fiction
Of bone and thunder	9781451679335	|Imaginary wars and battles||Fiction||Soldiers||Dragons||Magic||Good and evil|
How fly saved the river	9781418915612	|Tales||Flies||Juvenile fiction||Fiction|
Storm bride	9781940215358	|Magic||Fiction||Revenge||War stories|
The flowering almond rod	9781460267509	|Fiction||Christian education||History|
Pretenders	9781894063135	|Canadian Science fiction||Intrigue||Fiction|
Rainbow	9780954743970	|Fiction||Poetry||Anekdote||Lyrik|
Blood and broomsticks	9781909520356	|Fiction||Hotelkeepers|
Shape of the sky	9781935922551	|Rock groups||Fiction||State Police||Homicide investigation||Country life|
Blood sisters	9780984485031	|Foster home care||Fiction||Group homes for children||Child abuse||Girls||Family relationships||Incest|
Bill Badger's voyage to The World's End	9780718201715	|Fiction||Badgers||Dogs||Voyages and travels||River boats|
Our love	9781517451158	|African Americans||Fiction||Man-woman relationships||Clergy|
The Casquette girls	9780989757713	|Fiction||Young adult fiction||Horror tales||Fantasy fiction||Horror stories||Fantasy|
Danity Kane	9780557709007	|Danity Kane (Fictitious character)||Fiction||Young women||Comic books, strips||Imaginary wars and battles|
Sherlock Holmes & the Chilford Ripper	9781842625460	|Fiction||John H. Watson (Fictitious character)|
The big introduction	9781846182129	|Dating (Social customs)||Fiction||Readers (Elementary)||High interest-low vocabulary books|
The organist who wore gloves	9781480258532	|Museums||Fiction||Murder|
Taking Hart	9780985834517	|Fiction||History|
The fox and the hound	9780681414228	|Dogs||Fiction||Foxes|
The trouble with Caasi	9780373473212	|Man-woman relationships||Fiction||Romance fiction||Relations entre hommes et femmes||Romans, nouvelles|
Opciones educación linda	9781435704329	|Hispanic American women||Fiction||Mothers and daughter||Américaines d'origine latino-américaine||Romans, nouvelles|
Murder in the museum	9781444838633	|Fiction||Murder||Investigation||Museums||British Museum|
Jazz and die	9781444824759	|Jordan Lacey (Fictitious character)||Fiction|
A gentleman's harlot	9781786518873	|Man-woman relationships||Fiction||Social life and customs||Prostitutes||Relations entre hommes et femmes||Romans, nouvelles||Mœurs et coutumes||Prostituées||Manners and customs|
Encore	9781477508138	|Mystery and detective stories||Boys||Fiction||Theater||Authors||Garçons||Romans, nouvelles||Théâtre||Écrivains|
Corridor	9780615626482	|Good and evil||Fiction|
Jobmobbers	9781491775561	|Women professional employees||Fiction||Harassment||Professionnelles salariées||Romans, nouvelles|
Ulterior motives	9781511478595	|Urban fiction||African Americans||Fiction||Friendship||Deception||Noirs américains||Romans, nouvelles||Amitié||Tromperie|
