Title	ISBN	Subjects
Surface tension	9780375844461	|Families||Vacations||Juvenile fiction||Family life||Change||Fiction|
A Texan on her doorstep	9780373654413	|Sheriffs||Women physicians||Twins||Fiction|
When one man dies	9780307382788	|Ex-police officers||Private investigators||Fiction|
Second cousins	9780590473699	|African Americans||Friendship||Cousins||Juvenile fiction||Family reunions||Fiction|
Dark coulee	9780802733511	|Women detectives||Claire Watkins (Fictitious character)||Fiction|
The dead zone	9780451155757	|Psychics||Fiction||Protected DAISY|
Quicksilver	9780505521415	|Fiction||Women psychiatrists||Life on other planets|
Burned	9780743476669	|Regan Reilly (Fictitious character)||Women private investigators||Employees||Hotels||Crimes against||Fiction|
A couple of kooks and other stories about love	9780531059005	|Love||American Short stories||Short stories||Fiction|
The last hotel for women	9780684811116	|Civil rights movements||Race relations||Fiction|
Too many tamales	9780399221460	|Mexican Americans||Juvenile fiction||Rings||Christmas||Christmas stories||Fiction|
The philosopher's pupil	9780670551866	|Salvation||Fiction|
Secrets of a family album	9780312342265	|Mothers and daughters||Fiction||Families||Wives|
The vagabonds	9780446530026	|Death||Male friendship||Brothers and sisters||Mothers||Fiction||Loss (Psychology)||Children of the rich||Inheritance and succession||Secrecy|
After Moondog	9780151930968	|Marriage||Fiction|
Die upon a kiss	9780553109245	|Benjamin January (Fictitious character)||Free African Americans||African American men||Opera||Fiction|
Hippolyta and the curse of the Amazons	9780064408486	|Juvenile fiction||Hippolyta (Greek mythology)||Fiction|
The Lady Elizabeth	9780345495358	|Fiction||History||Childhood and youth||Queens|
Nightside	9780385421973	|Runaway teenagers||Sex crimes||Ex-nuns||Fiction|
The snowman	9780394839738	|Picture books||Stories without words||Juvenile fiction||Fiction||Snowmen||Dreams||Cartoons and comics|
Prairie storm	9780786238200	|Evangelists||Large type books||Orphans||Fiction|
Can't have ants	9780689832277	|Juvenile fiction||Ants||Fiction|
Hot cargo	9780878793136	|Smuggling||Fiction||Readers for new literates|
Fur-ever yours, Booker Jones	9780670892877	|Grandfathers||Brothers and sisters||Schools||Authorship||Family life||Fiction|
The pact	9780786719020	|Swindlers and swindling||Murder||Psychopaths||Brothers and sisters||Fiction|
Like father, like son	9780373652280	|Ranchers||Fiction|
Lawyers, guns and money	9780373075638	|Women lawyers||Fiction|
The best catch in Texas	9780373248148	|Physicians||Fiction|
By Lizzie	9780803726086	|Schools||Authorship||Family life||Family||Fiction|
There's no place to cry at the Ritz	9780525246589	|Gay men||Fiction|
The Mummy, the Will, and the Crypt	9780803700307	|Mystery and detective stories||Juvenile fiction||Detective and mystery stories||Inheritance and succession||Fiction|
The Medusa seduction	9780373275649	|Fiction||Special forces (Military science)||Love stories|
The three red flares	9780690823578	|Mystery and detective stories||Scuba diving||Underwater archaeology||Fiction|
The case of the coyote invasion	9780142415924	|Coyote||Humorous stories||Dogs||Ranch life||Fiction|
Edison's gold	9781606840948	|Mystery and detective stories||Vendetta||Secret societies||Adventure and adventurers||Inventors||Fiction|
Oh, Jet!	9780778705932	|Dogs||Picture puzzles||Fiction|
Casting about	9780758232052	|Knitters (Persons)||Fiction||Stepmothers||Mothers and daughters|
The Princess's blankets	9780763645472	|Kings, queens, rulers||Fairy tales||Princesses||Sick||Fiction|
It came upon the midnight clear	9780345321633	|Angels||Fiction|
The Christmas chronicles	9781585428304	|Santa Claus||Fiction|
My wicked highlander	9780743471060	|Witchcraft||Fiction|
Wings of wrath	9780756405359	|Magic||Fiction|
The troupe	9780316187527	|Vaudeville||Fiction||Mysticism|
By intent	9781583144404	|Man-woman relationships||African Americans||Fiction|
Dragons in the stars	9780812533033	|Dragons||Fiction|
Mr. Was	9780689819148	|Family problems||Time travel||Fiction|
