Title	ISBN	Subjects
Daughters of an ancient race		|History||Fiction|
Weathering; Life's Storms	9798989373024	|Self-help techniques||Crime|
Summer Of 1980	9798218388058	|Drama (dramatic works by one author)||Crime|
Travels into several remote nations of the world		|Voyages and travels -- Fiction||Fantasy|
The borrowers aloft		|Children's stories, English||Fantasy||Short stories|
Seize the Day	9780670000913	|United States||Fiction||Fiction / General||Social life and customs||Jewish men||Middle aged men||20th century||Middle-aged men||Psychological fiction|
HEAVEN PROMOTION W HEARTSONG (Casteel Saga	9780671010058	|Horror - General||Fiction / General||Fiction - Horror||Fiction|
Caroline's Daughters	9780671028480	|Modern fiction||Adams, Alice Boyd - Prose & Criticism||Fiction - General||Fiction||General||Fiction / General||Mothers and daughters||San Francisco (Calif.)|
Wicked	9780671034122	|Modern fiction||King of England,||Fiction - Romance||Romance: Historical||Romance - Historical||Fiction / Romance / Historical||Fiction||1239-1307||Edward||I,||King of England|
Arthur C. Clarke's Venus Prime 2	9780671038991	|American Science Fiction And Fantasy||Fiction||Fiction - Science Fiction||Science Fiction||Science Fiction - General||Fiction / Science Fiction / General||Science Fiction - High Tech|
Report to Greco	9780671220273	|General||Biography & Autobiography / General||Fiction||Literature - Classics / Criticism|
Wolfer	9780671428730	|Non-Classifiable||Fiction|
The MYSTERY AT THE CRYSTAL PALACE	9780671505158	|Crime & mystery||Ice skating||Children's 9-12 - Fiction - Mysteries / Detective||Children: Grades 4-6||Mysteries, Espionage, & Detective Stories||Juvenile Fiction / Action & Adventure||Fiction||Mystery and detective stories|
Lamb to the Slaughter	9780671527655	|Mystery & Detective - Women Sleuths||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||Mystery & Detective - General||Mystery fiction|
Wishes On The Wind	9780515105353	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical|
Eros in High Places	9780515112375	|Erotica - General||Fiction - Adult||Fiction|
Bliss	9780515115871	|Romance - Historical||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary|
Timeless Wish	9780515124996	|Romance||Romance - Historical||Fiction - Romance||Fiction||Romance - Time Travel||Romance - Contemporary|
Whisper Always	9780515127126	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / General|
Rosa Loves to Read	9780516258256	|Juvenile Fiction||General||Juvenile Easy Readers||Children's Books/Ages 4-8 Fiction||Readers - Beginner||Children: Grades 1-2||Noise||Children's 4-8||Books and reading||Fiction|
Black on Black	9780671577889	|Science Fiction||Science Fiction - General||Fiction||Fiction - Science Fiction||FIC||FIC028000||Fiction / Science Fiction / General|
Sylvester and the Magic Pebble (Aladdin Picture Books)	9780671662691	|Early learning / early learning concepts||Fiction||Children: Kindergarten||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Animals - General||Classics||Science Fiction, Fantasy, & Magic||Juvenile Fiction / Science Fiction, Fantasy, Magic||Donkeys|
Murphy's War	9780671669867	|Westerns - General||Fiction / Westerns||Fiction||Fiction - Western||Westerns|
Handling Sin	9780671709617	|General||Fiction / General||Fiction||Fiction - General|
Highland Velvet	9780671739720	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / Romance / General|
The Object of My Affection	9780671743505	|Modern fiction||General||Fiction - General||Fiction||Gay||Fiction / General|
Cop Talk	9780671783365	|New York||Sociology||General||Crime And Criminals||Police Science||True Crime / Espionage||New York (State)||Horror||Criminology||Case studies||Crime||Criminals||Detectives|
The Virgin and Vampire	9780671810160	|General||Non-Classifiable||Fiction||Fiction - General|
All That Glitters	9780671854621	|Modern fiction||Romance||Romance: Modern|
For Sale	9780516434766	|Juvenile Fiction||General||Brothers and sisters||Children's 4-8 - Fiction - General||Fiction||Children: Babies & Toddlers|
Dirty White Boys	9780517173145	|Non-Classifiable||Sale Books||Fiction|
Petrolio	9780517268285	|Fiction||SALE BOOKS||Fiction / General||Fiction - General|
Lost Love	9780517319680	|Fiction||Mystery & Detective - General||SALE BOOKS||Fiction / Mystery & Detective / General||Fiction - Mystery/ Detective|
Dance for the Dead, Signed First Edition	9780676514285	|Fiction||Non-Classifiable||Fiction - General|
Lincoln (Modern Library)	9780679600480	|Biography: general||Modern fiction||POLITICS & GOVERNMENT||Presidents||Vidal, Gore - Prose & Criticism||Literature - Classics / Criticism||American English||Fiction||USA||United States||Historical - General||Fiction / Historical||Lincoln, Abraham||1809-1865||Biographical fiction||Lincoln, Abraham,|
East, West	9780679757894	|Short Stories (single author)||Fiction - General||Fiction||Fiction / Short Stories (single author)||East and West||Short stories|
Alice in Wonderland	9780517670088	|Non-Classifiable||Sale Books||Sale Adult - Children's Books - Ages 4-9||Fantasy|
A Visit To The Haunted House	9780679824503	|General||Non-Classifiable||Toy and movable books||Fiction||Children's 4-8||Ghosts||Specimens||Children: Grades 1-2|
The Houdini Box	9780679854487	|General||Non-Classifiable||Magicians||Children: Grades 4-6||Fiction||Children's 9-12 - Fiction - General||1874-1926||Houdini, Harry,|
Tarot	9780681418707	|Divination - Tarot||Modern fiction||New Age / Parapsychology||Body, Mind & Spirit||New Age / Body, Mind & Spirit||Fiction|
FOAMERS	9780684835860	|Crime & mystery||Mystery & Detective - Women Sleuths||American Mystery & Suspense Fiction||Fiction||Fiction - Espionage / Thriller||Mystery/Suspense||Espionage/Intrigue||Fiction / General||Government investigators||Railroad accidents|
Higgledy-Piggledy Verses and Pictures	9780689504075	|Stories in rhyme||Human behavior||Children: Grades 4-6||Children's Books - Young Adult Fiction||Humorous stories||General||Children's Books - Young Adult||Behavior||Fiction|
Hatchet	9780689808821	|Fiction||Social Situations - Adolescence||Divorce||Children's Books/Ages 9-12 Fiction||Juvenile Fiction||Social Issues - Adolescence||Children: Young Adult (Gr. 7-9)||Family - Marriage & Divorce||Action & Adventure - General||Classics||Juvenile Fiction / Social Situations / General||Children's 9-12 - Literature - Classics / Contemporary||Survival||Action & Adventure|
Baby Food (Miller, Margaret, Look Baby! Books.)	9780689831904	|Infants||Food||Children: Babies & Toddlers||Juvenile Fiction||Children's Books/Baby-Preschool||General||Juvenile Fiction / General||Concepts - General||Babies||Fiction|
Case of the Missing Gold 	9780689833342	|Movie Tie - In||Time travel||Humorous Stories||Children: Grades 2-3||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Mystery and detective stories||Mysteries, Espionage, & Detective Stories||Juvenile Fiction / Movie or Television Tie-In||Fiction||Gold miners|
Izzy's Place	9780689846397	|Indiana||Social Issues - Emotions & Feelings||Fiction||Death||Social Situations - Death & Dying||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Social Issues - Death & Dying||Children: Grades 4-6||Grandparents||Social Issues - Friendship||Juvenile Fiction / Social Situations / Emotions & Feelings||Social Situations - Emotions & Feelings||Family - Multigenerational||Social Situations - Friendship||Family problems||Children's 9-12 - Fiction - General|
Thanksgiving in the Barn	9780689856556	|Juvenile Fiction||Toy and movable books||Holidays & Celebrations - Thanksgiving||Children: Kindergarten||Children's Books/Ages 4-8 Fiction||Thanksgiving Day||Specimens||Holidays & Festivals - Thanksgiving||Juvenile Fiction / Holidays & Festivals / Thanksgiving||Domestic animals||Fiction|
SpongeBob's Christmas Wish	9780689858789	|Juvenile Fiction||Santa Claus||Holidays & Celebrations - Christmas||Children: Preschool||Children's Books/Ages 4-8 Fiction||Movie Tie - In||Marine animals||Humorous Stories||Holidays & Celebrations - Christmas & Advent||Juvenile Fiction / Movie or Television Tie-In||Christmas||Fiction|
The Miserable Mill (A Series of Unfortunate Events, Book 4)	9780694525430	|Juvenile Fiction||Fiction||Children's Audio - 9-12||Audio: Juvenile||Orphans||Humorous Stories||Action & Adventure - General||Family - Orphans & Foster Homes||Juvenile Fiction / Family / Orphans & Foster Homes||Brothers and sisters||Children's audiobooks|
Teddy Bears ABC	9780695805401	|Concepts - Alphabet||Fiction||Teddy bears||Alphabet||Alphabet books|
Too Many Tamales	9780698114128	|Rings||Mexican Americans||Fiction||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 2-3||Social Issues - Emotions & Feelings||People & Places - United States - Hispanic/Latino||Holidays & Celebrations - Christmas & Advent||Juvenile Fiction / Holidays & Festivals / Christmas||Christmas|
Draw Me a Star (Paperstar Book)	9780698116320	|Drawing||Children's Books/Ages 4-8 Fiction||Children: Kindergarten||Nature & the Natural World - General||Juvenile Fiction / Art & Architecture||Artists||Fiction|
Executioner	9780523418537	|General||Fiction||Fiction - General|
The Colours of the Day	9780708944257	|Literary||Fiction - General||Fiction||General|
Ruby The Red Fairy (Rainbow Magic)	9780545010375	|Action & Adventure - General||Readers - Beginner||Science Fiction, Fantasy, & Magic||Juvenile Fiction / Science Fiction, Fantasy, Magic||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Fairies||Fantasy||Fiction||Rescues||Children: Grades 3-4|
Over the Rooftops of Time	9780791455753	|Modern fiction||Poetry texts & anthologies||Short stories||Literature - Classics / Criticism||Jews||Fiction||Short Stories (single author)||American - General||Essays||Judaism||Literary collections|
Outlaws	9780792712244	|Fiction||Large Print||Large type books||Arizona||Outlaws||Western stories|
Princess Amy (Sweet Dreams Series #4)	9780553140200	|Fiction||Love||Adolescence|
Ghost a La Mode	9780553157550	|General||Non-Classifiable||Fiction||Children's 9-12||Ghosts||Schools||Children: Babies & Toddlers|
Jessica's Cat Trick	9780553157680	|School stories||Twins||Fiction||Children's 4-8 - Fiction - General||Children: Grades 2-3||Social Issues - General||Social Situations - General||Juvenile Fiction / Social Situations / General||Cats|
Hostage! (Sweet Valley High, No 26)	9780553254303	|Fiction||Kidnapping||Children's 12-Up - Fiction - General||General||Non-Classifiable||Schools|
The Halloween Tree	9780553258233	|Space and time||Fantasy - General||Science Fiction - General||Non-Classifiable||Science fiction||Fiction||Fiction - Science Fiction||Halloween||Children: Babies & Toddlers|
Search for the Mountain Gorillas (Choose Your Own Adventure #41)	9780553260625	|Literary recreations||Fiction||Children's 12-Up - Fiction - General||Children: Grades 4-6||General||Non-Classifiable||Adventure and adventurers||Jungle stories|
Short Shorts	9780553274400	|Modern fiction||Short stories||Fiction - General||Fiction||Anthologies (multiple authors)||Fiction / Anthologies (multiple authors)|
Bowdrie	9780553281064	|Short stories||Fiction - Western||Fiction||Westerns - General||Fiction / Westerns||General|
In the Season of the Sun	9780553283327	|Historical - General||Non-Classifiable||Fiction - Historical||Fiction|
The Dating Game	9780553291872	|Teenage romance||Fiction||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 7-9)||General||Non-Classifiable||Dating (Social customs)||Friendship|
Black Ribbon (Dog Lover's Mysteries)	9780553298758	|Modern fiction||Mystery fiction||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Dogs - General||Mystery & Detective - Series||Mystery & Detective - Women Sleuths||Fiction / Mystery & Detective / Women Sleuths|
LAURA OF THE WILD ROSE INN, 1895 (Wild Rose Inn)	9780553299106	|History||Children: Young Adult (Gr. 7-9)||Children's 12-Up - Fiction - History||United States||Historical - General||Juvenile Fiction / General||1865-1921||1898-1919||Fiction|
STORM SONG	9780553444155	|Romance||Romance - General||Fiction||Fiction - Romance||Romance: Modern||Non-Classifiable||Romance - Contemporary|
Sleepwalking Beauty (Loveswept, No 835)	9780553445831	|Romance: Modern||Fiction||Fiction - Romance||Romance - Contemporary||Non-Classifiable||Romance - General|
Anne of Avonlea (Anne of Green Gables Novels)	9780553452006	|Fiction||Orphans||Children's audiobooks||Children's Audio - 9-12||Audio: Juvenile||Teachers||Classics||Juvenile Fiction / General|
CASE OF THE CHRISTMAS THIEF, THE	9780553480634	|School stories||Mystery and detective stories||Fiction||Children's 4-8 - Fiction - Mystery||Children: Grades 2-3||Schools||Holidays & Celebrations - General||Mysteries, Espionage, & Detective Stories||Juvenile Fiction / Holidays & Festivals / General||Christmas|
Potshot	9780553502824	|Unabridged Audio - Fiction/Mystery||Fiction||Audio Adult: Books On Tape||Mystery & Detective - Hard-Boiled||Fiction / General||Audiobooks||Mystery & Detective - General|
The John Grisham Value Collection	9780553526318	|Legal||Fiction||Abridged Audio - Fiction/General||Audio Adult: Books On Tape||General||Fiction / General||Audiobooks|
Bowdrie Rides a Coyote Trail and Down Sonara Way	9780553528176	|Westerns - General||Fiction||Abridged Audio - Fiction/Westerns||Audio Adult: Books On Tape||Westerns - Louis L'Amour||Fiction / Westerns|
Terminal Games	9780553572438	|Mystery & Detective - General||Suspense||Technological||Fiction / Suspense||Fiction - Mystery/ Detective||Fiction|
Almost Crime	9780553574401	|General||Fiction / General||Fiction - General||Fiction|
Remake	9780553574418	|Fantasy||Science Fiction||Science Fiction - General||Fiction||Fiction - Science Fiction||Fiction / Science Fiction / General|
Siege of Black Brae (Gateway Books (Lutterworth))	9780718818791	|Christianity||Fiction||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Grades 4-6||Religious - Christian||Children's Books/Ages 9/12 Fiction||Juvenile Fiction / Religious / Christian||Religious Orientation/Christian||Theometrics/Mainline||Youth & Children/Children/Children's Fiction-Christian_ **|
The Littlest Princess	9780794404031	|Princesses||Specimens||Juvenile Fiction||Preschool Picture Story Books||Children's 4-8 - Picturebooks||Social Issues - General||Children: Kindergarten||Royalty (kings  queens  princes  princesses  knights  etc.)||Juvenile Fiction / Girls & Women||Toy and movable books||Concepts - Colors||Clothing and dress||Fiction|
Miniature Mysteries	9780800852528	|Mystery & Detective - General||Detective and mystery stories,||Mystery and detective stories||Short stories||Fiction||Fiction - Mystery/ Detective|
The Trail to Peach Meadow Canyon (Louis L'Amour)	9780553714593	|Unabridged Audio - Fiction/Westerns||Fiction||Audio Adult: Books On Tape||Westerns - Louis L'Amour||Fiction / Westerns||Westerns - General|
AQUAMARINE (Loveswept)	9780553763287	|Romance: Modern||Fiction||Fiction - Romance||Fiction / Romance / Contemporary||Romance - Contemporary|
Puss 'n Cahoots	9780553803648	|Brown, Rita Mae - Prose & Criticism||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Cat Sleuths||Fiction / Mystery & Detective / General||Mystery & Detective - General||Haristeen, Harry (Fictitious character)||Murphy, Mrs. (Fictitious character)||Women postal service employees|
Love and Loss	9780571198252	|Women authors||Anthologies (multiple authors)||Love stories, English||English fiction||Fiction||Literature - Classics / Criticism||American fiction||Love stories, American|
Jemima Puddle-Duck (First Board Book, Potter)	9780723243243	|Board books||Character books||Fiction||Classics||Children's Baby - Boardbooks||Children: Babies & Toddlers||Animals - Birds||Juvenile Fiction / General||Ducks|
The Tale of Tom Kitten (The World of Beatrix Potter)	9780723247777	|Animal stories||Character books||Classic fiction||General||Children: Preschool||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Juvenile Fiction / Animals / General||Animals - General||Classics||Readers - Beginner||Cats||Fiction|
The Gilded Land (Heron Saga's)	9780727852861	|Historical fiction||Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / Romance||Fiction / Romance / Historical||Large type books|
Hide and Die	9780727874139	|Crime & mystery||Mystery/Suspense||Mystery & Detective - General||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - Series||Mystery & Detective - Women Sleuths||Cultural Region/British Isles||Fiction / Mystery & Detective / Women Sleuths||Fiction / Mystery/ Detective||Fiction/Mystery & Detective - General||Large type books|
The Wickenham Murders	9780727874344	|Crime & mystery||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||Fiction / Mystery/ Detective||Large type books|
The Tailor's Daughter	9780727875495	|Historical fiction||English Light Romantic Fiction||Fiction||Fiction - Romance||Romance: Historical||Romance - Historical||Fiction / Romance||Fiction / Romance / Historical|
American Graffiti	9780802100603	Fiction
The Last Known Residence of Mickey Acuna	9780802134196	|Modern fiction||Fiction - General||Fiction||General||Fiction / Literary|
A Local Matter	9780802756039	|American First Novelists||Fiction||Mystery/Suspense||Detective and mystery stories||Mystery & Detective - General||Mystery and detective stories|
No Badge, No Gun (Carl Wilcox Mystery)	9780802775757	|Mystery fiction||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - General||Fiction / Mystery & Detective / General|
Ducky, Diary Two (California Diaries)	9780590023870	|Social Situations - Friendship||Juvenile Fiction||Diaries||Children's 9-12 - Fiction - General||Children: Young Adult (Gr. 7-9)||Social Issues - Friendship||Depression, Mental||Fiction||Friendship|
Circle Of Thanks	9780590100694	|Tundras||Social Issues - Values||Fiction||Juvenile Fiction||Children's 4-8 - Picturebooks||Children: Grades 3-4||Tundra animals||General|
Thirteen	9780590401920	|General||Fiction||Friendship||School stories||Children's Books - Young Adult||Juvenile Fiction||Children's Books - Young Adult Fiction|
Katies Babysitting Job	9780590407243	|General||Fiction||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children's 9-12|
Stephanie's Big Story	9780590422994	|General||Student newspapers and periodicals||College and school journalism||Fiction||Children's 9-12||Schools||Children: Grades 4-6|
The April Rabbits	9780590423694	|Fiction||General||Children's Books/Ages 4-8 Fiction||Children: Preschool||Rabbits||Children's 4-8|
Amanda, the Cut Up	9780590425551	|General||Fiction||Children's 9-12||School stories||Schools||Children: Grades 4-6|
Unsolved! Famous Real-Life Mysteries	9780590429900	|Fiction||Curiosities and wonders||Children's 9-12 - New Age||Children: Grades 4-6||Curiosities & Wonders||Juvenile literature|
