Title	ISBN	Subjects
Spiral, Vol. 4	9780759528345	|Comic strip fiction / graphic novels||Comics & Graphic Novels||Graphic Novels-Manga||Fiction||Manga - General||Comics & Graphic Novels / Graphic Novels / Manga|
Noah's Chance	9780759627581	|General & Literary Fiction||General||Fiction||Fiction - General|
The Demon Exchange	9780759639041	|General & Literary Fiction||General||Fiction / General||Fiction||Fiction - General|
To Dismiss with Prejudice	9780759651203	|General & Literary Fiction||General||Fiction / General||Fiction||Fiction - General|
Bird of Loudest Lay	9780761006374	|American Historical Fiction||Fiction|
Solving the Real Estate Puzzle	9780761007418	Fiction
Bear Hugs (Road to Reading Mile 1: Getting Started)	9780606189217	|General||Children's 4-8 - Fiction - General||Bears||Fiction||Hugging||Children: Grades 1-2|
Juggling (Rigby Literacy)	9780763565954	|General||Fiction||Juggling||Reading level B||Children's 4-8 - Education|
The Forbidden (Courtship of Nellie Fisher, The)	9780764205217	|Religious - General||Fiction / Religious||Fiction||Fiction - Religious|
The Old Bridge	9780766184589	|General & Literary Fiction||Literary||Fiction / Literary||Fiction||Fiction - General|
The Tale of Peter Mink	9780766196995	|General & Literary Fiction||Literary||Fiction||Fiction - General|
The Boys' Sherlock Holmes	9780766199583	|Crime & mystery||Mystery & Detective - Sherlock Holmes||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense|
Nick Adams Stories	9780606252836	|Classics||Literature - Classics / Criticism||Adams, Nick (Fictitious character)||Fiction||Literature: Classics|
Clever Trevor (Science Solves It)	9780606275996	|Social Issues - General||Juvenile Fiction||Bullies||Fiction||Levers||Seesaw||Children: Kindergarten|
Eye of Eternity (Pyrates)	9780606277037	|Action & Adventure - General||Mysteries, Espionage, & Detective Stories||Juvenile Fiction||Buried treasure||Fiction||Journals||Pirates||Children: Grades 4-6|
The Werewolf of Fever Swamp	9780606284486	|Media Tie-In||Juvenile Fiction||Dogs||Fiction||Werewolves||Children: Grades 3-4|
In the Shadow of the Warlock Lord (Sword of Shannara)	9780606285124	|Fantasy - Epic||Fiction||Fantasy|
Lamb Lessons (Animal Ark Pets)	9780606287425	|Animals - Farm Animals||Juvenile Fiction||Bullies||Farm life||Fiction||Sheep||Children: Grades 4-6|
The Prairie Train	9780606308212	|Social Issues - Emigration & Immigration||Social Situations - Emigration & Immigration||Transportation - Trains||Family - Multigenerational||Social Issues - New Experience||Transportation - Railroads & Trains||Juvenile Fiction||Children's 4-8 - Picturebooks||Fiction||Immigrants||Locomotives||Railroads||Trains||Children: Grades 3-4|
Henry and Mudge and Annie's Good Move (Henry and Mudge)	9780613285193	|Readers - Beginner||Social Issues - Emotions & Feelings||Social Issues - Moving||Animals - Dogs||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Fiction - General||Cousins||Dogs||Fiction||Moving, Household||Children: Grades 1-2|
