Title	ISBN	Subjects
Second-Best Bride	9780373118175	Fiction
The true meaning of cleavage	9780689850929	|Individuality||High schools||Schools||Best friends||Friendship||Interpersonal relations||Fiction|
Joey Pigza loses control	9780064410229	|Alcoholism||Baseball||Attention-deficit hyperactivity disorder||Baseball stories||Juvenile fiction||Fathers and sons||Fiction|
A man in full	9780374270322	|Political corruption||Practical Politics||Conglomerate corporations||African American lawyers||Acquaintance rape||African Americans||Fiction|
The murders in the Rue Morgue	9780585297170	|Murder||Fiction|
Santa's moose	9780060225056	|Santa Claus||Moose||Christmas||Christmas stories||Fiction|
Shiloh	9780440407522	|Animals||Newbery Medal||Juvenile fiction||Animal welfare||Fiction||Treatment||Beagle (Dog breed)||Human-animal relationships||Dogs|
The baby gamble	9780373714469	|Divorced people||Pregnancy||Male friendship||Fiction|
A celibate season	9780140275117	|Epistolary fiction||Spouses||Fiction|
Dog Heaven	9780590417013	|Juvenile fiction||Heaven||Dogs||Fiction|
Conditions of love	9780805061048	|Fathers and daughters||Emotional problems||Mothers and daughters||Divorce||Friendship||Fiction|
Gold dust	9780064472012	|Baseball||Baseball stories||Schools||Fiction||Friendship||Racism||Caribbean Americans|
The palace tiger	9780786715725	|Joe Sandilands (Fictitious character)||Fiction||Police||History|
A bleeding of innocents	9780373262410	|Police||Policewomen||Liz Graham (Fictitious character)||Cal Donovan (Fictitious character)||Frank Shapiro (Fictitious character)||Fiction|
Escape from hell	9780765316325	|Hell||Fiction|
Look again	9780312380724	|Women journalists||Adopted children||Missing children||Fiction|
The secret	9780345465368	|Fiction||Young women||Identity (Psychology)||Iris Surrey (Fictitious character)||Mothers and daughters|
Spontaneous	9780312262341	|Sisters||Spontaneous human Combustion||Inheritance and succession||Fiction|
Blackmail	9780373443444	|Fiction||Man-woman relationships||Petroleum industry and trade||Probation officers|
Blood trillium	9780553088519	|Sisters||Fiction|
Code black	978159687368X	|Aircraft accidents||Fiction|
Where the steps were	9781932425888	|Teachers||Schools||Juvenile fiction||Friendship||Novels in verse||Fiction|
Hell is always today	9780425202869	|Murder||Investigation||Fiction|
The salaryman's wife	9780061044434	|Women detectives||Japanese American women||Fiction|
Tourist season	9780446343459	|Private investigators||Tourism||Fiction|
A pack of lies	9780761455790	|Books and reading||Honesty||Storytelling||Antiques||Fiction||Retail Stores||Supernatural||Mothers and daughters|
I was Jane Austen's best friend	9780385739405	|Social life and customs||Diaries||Cousins||Juvenile fiction||Fiction||Courtship||Friendship||Childhood and youth|
Katie saves Thanksgiving	9781404859883	|Chinese Americans||Thanksgiving Day||Neighborliness||Fiction|
Tricky Spider tales	9780761366096	|Plot-your-own stories||Animals||Spiders||Graphic novels||Tricksters||Fiction|
All together dead	9780441014941	|Vampires||Fiction|
Mary's secret	9781434990518	Fiction
Indelible	9781611730722	|Large type books||Fiction|
Buried prey	9781410436108	|Private investigators||Serial murder investigation||Serial murders||Large type books||Lucas Davenport (Fictitious character)||Cold cases (Criminal investigation)||Fiction|
Keeper at the shrine	9780312131029	|Catholics||Fiction||Clergy||History|
Deadly virtues	9781450231015	|Serial murders||Fiction|
Island pharisees	9781907429019	|Social life and customs||Upper class||Fiction|
The Duke & the pirate queen	9780373605507	|Privateering||Pirates||Ocean travel||Fiction|
The summer I lost it	9781434233165	|Diaries||Weight control||Juvenile fiction||Weight loss||Fiction||Interpersonal relations||Overweight persons||Overweight teenagers||Self-esteem|
