Title	ISBN	Subjects
Yug purush	9789353334635	Fiction
Neglected Christian children of Indus	9789697708024	|Christians||Fiction|
The forest dames	9789789382941	|Women||Fiction||Crimes against||History||Civil War (Nigeria : 1967-1970) fast (OCoLC)fst01352311|
Country Girl Again and Other Stories	9780140080612	|Fiction, short stories (single author)||Fiction|
Meanwhile	9781884097560	|Jews||Fiction||Immigrants|
A tree like rain	9780975802106	Fiction
Go bananas	9781600911521	|Jewish teenagers||Fiction||Jewish girls||Orthodox Judaism|
The pursuit of reality	9780704998568	|Fiction||History||Literature and history||Reality in literature||Imaginary histories||Jews||Philosophy|
Grim Pickings	9780043330319	|Fiction||Birdwood, verity (fictitious character), fiction||Australia, fiction||Fiction, mystery & detective, women sleuths|
Never End (Chief Inspector Erik Winter Novels)	9780670037667	|Swedish (Language) Contemporary Fiction||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Hard-Boiled||Fiction / Mystery & Detective / Hard-Boiled||Detectives||Sweden||Winter, Erik (Fictitious character)|
Peter's Chair	9780670061907	|Preschool Picture Story Books||Family - Siblings||Juvenile Fiction||Children's Books/Baby-Preschool||Children: Preschool||Family - New Baby||Juvenile Fiction / Boys & Men||Family - Parents||Brothers and sisters||Fiction||Boys / Men|
Nanu, Penguin Chick	9780670886388	|Fiction||Picture books||Juvenile fiction||Children: Grades 1-2||Children's 4-8 - Picturebooks||Nature & the Natural World - General||Animals - Birds||Juvenile Nonfiction / General||Emperor penguin||Penguins|
Thrice Upon A Time	9780671319489	|Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction - High Tech||Fiction / Science Fiction / General||Science Fiction||Science Fiction - General|
Vida	9780671401108	|General||Fiction - General||Fugitives from justice||Bombings||Revolutionaries||Fiction|
The Seeing Summer	9780671456610	|Physically handicapped||Fiction||Children's All Ages||Children: Babies & Toddlers||Health & Daily Living - General||Books and reading||People with disabilities||Blind||Kidnapping|
WILLOW WIND	9780671475741	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Romance - General||Fiction / Romance / General|
ANIMAL BABY ZOOILS	9780671547363	|Children: Babies & Toddlers||Non-Classifiable||Fiction||Infancy||Animals||Zoo animals||Zoos|
Hope and Glory	9780515060416	|General||Fiction - General||Fiction|
Light To The Heart (Light to the Heart)	9780515063875	|Romance - General||Fiction||Fiction - General||Romance: Regency||General|
Courting Kate	9780515120486	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical||Fiction / General|
Slocum 273	9780515131833	|Westerns - General||Fiction||Fiction - Western||Westerns||Fiction / General|
Headwind	9780515132625	|Fiction - Espionage / Thriller||Fiction||Espionage/Intrigue||Fiction / Folklore||Fairy Tales, Folklore & Mythology|
Diplomatic Act	9780671578237	|Science Fiction||Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction - General||Non-Classifiable|
Wolfbane	9780671655761	|Science Fiction - General||Pohl, Frederik - Prose & Criticism||Fiction - Science Fiction||Fiction||Fiction / Science Fiction / General||Science Fiction|
The OVERNIGHT FEAR STREET (Fear Street Series)	9780671676872	|Horror & Ghost Stories||Juvenile Fiction / General||Children: Young Adult (Gr. 7-9)||Fiction||Children's 12-Up - Fiction - Horror||Camping|
Party Summer  (Fear Street Super Chiller)	9780671729202	|Hotels, taverns, etc.||Children: Young Adult (Gr. 7-9)||Juvenile Fiction||Children's 12-Up - Fiction - Horror||Children: Young Adult (Gr. 10-12)||Horror & Ghost Stories||Fiction / Horror||Juvenile Fiction / Horror & Ghost Stories||Cape Cod (Mass.)||Fiction|
Exit Wounds	9780671729356	|Mystery & Detective - General||Mystery & Detective - Police Procedural||Fiction / Mystery & Detective / General||Fiction - Mystery/ Detective||Fiction|
The SCARLET TEMPTRESS	9780671736255	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Romance - General||Fiction / Romance / General|
From a Silver Heart	9780671760960	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Romance - General||Fiction / Romance / General|
Clawhammer	9780671789947	|Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||General||Medical / General|
The PASSION (DARK VISIONS 3)	9780671874568	|Modern fiction||Horror stories||Fiction||Juvenile Fiction||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 10-12)||Horror & Ghost Stories||Juvenile Fiction / General||Extrasensory perception||General|
Fox and Empire	9780671878580	|Fantasy||Science fiction||Science Fiction - General||Fiction||Fiction - Fantasy||Fantasy - General||Fiction / Science Fiction / General||Fantasy fiction||Science Fiction - Adventure|
