Title	ISBN	Subjects
The night of the were-boy	9780778720874	|Werewolves||Cats||Fiction|
A match for Addy	9781410482105	|Large type books||Amish||Fiction|
A heart's danger	9781410481108	|Large type books||Triangles (Interpersonal relations)||Frontier and pioneer life||Fiction|
Unlimited	9781433679407	|Orphanages||Life change events||Fiction||Renewable energy sources|
Lady in the mist	9781410437204	|Midwives||Large type books||Fiction|
Thank you, God, for this day	9780784736043	|Gratitude||Stories in rhyme||Cats||Animals||Infancy||Prayer||Fiction|
Hemingway's girl	9781410455239	|Large type books||Fiction||Women household employees|
The night of the swarm	9780345508874	|FICTION / Sea Stories||Voyages and travels||Wizards||FICTION / Fantasy / General||FICTION / Fantasy / Epic||Sailing ships||Fiction|
Liquid fear	9781612182070	|Drugs||Fear||Testing||Murder||Fiction|
The perfect snowflake	9781435127609	|Paper work||Snowflakes||Fiction|
Our man in Iraq	9781908236043	|Iraq War, 2003-2011||Fiction|
Scapegoat	9781594932625	|United States||United States. Federal Bureau of Investigation||Spies||Women intelligence officers||Fiction|
Typee	9781909175730	|Sailors||Fiction||Indigenous peoples|
Reprint of the speech of Sir Henry James as published in The Times		|Politics and government||Trials, litigation||Crime|
Moon shine	9781619223998	|Werewolves||Man-woman relationships||Fiction|
The bloodbound	9780425272688	|Kings and rulers||Magic||Brothers||Mate selection||Scouts (Reconnaissance)||Betrayal||Alchemy||Fiction||Triangles (Interpersonal relations)||Guards troops|
The Land of the Silver Apples	9781481443098	|Brothers and sisters||Fiction|
Ninety daze in Lusaka	9780646567303	|Zambia||Fiction|
Flee	9781612185125	|Women spies||Fiction|
Warcry	9780425241523	|Man-woman relationships||Fiction||Conspiracies||Queens||Paranormal romance stories|
How to make an African quilt	9780615773391	|Social life and customs||Women||Quilting||Quiltmakers||Slave narratives||Fiction||Patchwork Project (Ségou, Mali)|
College freshman 101	9780984022021	|Universities and colleges||Fiction||African Americans||Love|
The all you can dream buffet	9781410467690	|Older women||Fiction||Friendship||Organic farming||Large type books|
Maddy West and the tongue taker	9781623700843	|Magic||Juvenile fiction||Language and languages||Witches||Friendship||Adventure stories||Fiction||Adventure and adventurers|
Three dragons doomed	9780895876270	|Donald Youngblood (Fictitious character)||Fiction||Private investigators||Serial murderers|
The secret hiding place	9781928136163	|Secrets||Fiction||Behavior||Friendship||Imagination|
Elephantastic!	9781441308412	|Toys||Fiction||Elephants||Imagination|
Lost in the Mountains of Death	9780778707295	|Plot-your-own stories||Survival||Fiction|
Noob, amateur dentist	9781496602534	|Dentistry||Juvenile fiction||Deciduous teeth||Helping behavior||Schools||Teeth||Fiction||Helpfulness||Superheroes|
Bones	9781451679175	|Irene Kelly (Fictitious character)||Fiction||Women journalists||Serial murderers|
Spring brides	9781410477972	|American Christian fiction||Weddings||Fiction||Large type books|
Born in shame	9780425266113	|Americans||Fiction||Irish Americans||Women artists|
The littlest zombie's story	9781624020230	|Zombies||Juvenile fiction||Mothers and sons||Bedtime||Stories in rhyme||Fiction|
Always Mom, forever Dad	9780884483670	|Parent and child||Fiction||Divorce|
Summer on the farm	9780736960908	|Farm life||Fiction||Summer||Family life||Mennonites|
A classic case		|Bank robberies||Fiction||Women detectives||Burglary investigation|
Urban shots	9788187330448	|Short stories, Indic (English)||City and town life||Fiction|
Dungeon		|Fiction||History|
Shun cultism & crimes		|Juvenile delinquency||Anecdotes||Gangs||Cults||Crime|
In the face of death		|Fiction||History||Indians of North America|
Anthem	9780736231596	|Men||Fiction||Psychology||Individuality||Time travel|
Alice's adventures in Wonderland		Fantasy
Silesian Station	9781905847587	|Journalists||Fiction||World War, 1939-1945|
Triple crossing	9781407496979	|Large type books||Border patrol agents||Fiction||Organized crime investigation||Undercover operations|
The Radleys	9781554688586	|Families||Fiction||Vampires|
The lion, the witch, and the wardrobe		Fantasy
The director	9781847828965	|Journalists||Fiction||Motion picture industry||Adultery|
The leader of the Swans	9781844080045	|Children||Parent and adult child||Fiction|
Deep, deep down	9781847386007	|Ballydog (Imaginary place)||Fiction||Monsters||City and town life|
Iron Eyes is dead	9780709089933	|Bounty hunters||Fiction|
Evercrossed	9781847389176	|Angels||Fiction|
Overheads	9780006512189	|Universities and colleges||Fiction||Administration|
Women of a dangerous age	9781445828374	|Man-woman relationships||Fiction||Loss (Psychology)||Separated women|
Come the hour	9780709093190	|World War, 1939-1945||Fiction||History|
The Quaker Café	9780615957975	|Quakers||Fiction|
The promise in a kiss	9780732271695	|Man-woman relationships||Fiction|
Acid Row	9780754017264	|Alienation (Social psychology)||Fiction||Mobs|
Adultery	9780091958879	|Adultery||Fiction||Politicians||Married women|
All the dead lie down	9780006511328	|Gun control||Fiction||Homeless women||Women journalists|
And none shall sleep	9781845838911	|Fiction||Women detectives|
Animals	9780843109245	|Animals||Fiction|
The assassin	9780752894010	|Fiction||Intelligence officers|
Atlas of unknowns	9781847374035	|Sisters||Fiction||East Indian students||East Indians||Host families of foreign students|
The bitter trade	9780992864545	|Fiction||History|
Black Hills	9781849160902	|Fiction||Dakota Indians||Dakota (folk)||Skönlitteratur|
The book of human skin	9781407469911	|Fiction||History|
