Title	ISBN	Subjects
Hector Springs Loose (Ready-for-Chapters)	9780689864186	|Fleas||Juvenile Fiction||Children: Grades 2-3||Juvenile Easy Readers||Readers - Chapter Books||Children's 4-8 - Fiction - General||Insects||Fiction||Action & Adventure||Action & Adventure - General||Animals - Insects  Spiders  etc.||Nature & the Natural World - General||Juvenile Fiction / Action & Adventure||Adventure and adventurers|
Disney's Dream (Blast to the Past)	9780689870255	|Disney, Walt,||Science Fiction, Fantasy, & Magic||Historical - United States - General||Children's Books/Ages 9-12 Fiction||Time travel||Juvenile Easy Readers||Juvenile Fiction||Historical - United States - 20th Century||Children: Grades 3-4||Fiction||Action & Adventure - General||Readers - Chapter Books||Juvenile Fiction / Historical / United States / General||1901-1966||Juvenile Science Fiction / Fantasy|
All The Pretty Horses CD	9780694523443	|Unabridged Audio - Fiction/General||Audiobooks||Fiction||Audio Adult: Books On Tape||Literary||Fiction / Literary|
All in a Night's Work	9780696220050	|Specimens||Movie Tie - In||Fiction||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Babies & Toddlers||Spider-Man (Fictitious character)||Sound effects books||Action & Adventure - General||Juvenile Fiction / Movie or Television Tie-In||Comics & Graphic Novels - Superheroes||Interactive Adventure||Heroes|
Thrillers Chillers	9780525666332	|Ghost stories, English||Juvenile Fiction / General||Ghosts||Fiction||Short stories||Ghost stories, American|
Cannery Row	9780531001691	|Community life||Monterey (Calif.)||Fiction||Large Print||Cannery Row (Monterey, Calif.)||Large type books||Marine biologists|
Tasha's Witch	9780702227936	|Children: Grades 1-2||Fiction||Witches||Australia|
Rosevean	9780708902844	|General||Fiction||Fiction - General|
Murder Movie (Ulverscroft Mystery)	9780708944356	|Mystery/Suspense||Fiction||Fiction - Mystery/ Detective||Mystery & Detective - General|
Raven's Mill	9780708944783	|Romance: Historical||Fiction||Fiction - Romance||Romance - Historical|
