Title	ISBN	Subjects
Bad Day ABC	9780140556537	|Fiction||Picture books||General||Juvenile Fiction||Children: Grades 2-3|
Henry IV, Part II	9780140867855	|Shakespeare plays, texts||Fiction||Abridged Audio - Drama/Poetry||Audio Adult: Books On Tape||Classics||Shakespeare||Literary|
The Innocence of Guilt	9780385419833	|English Mystery & Suspense Fiction||Detective and mystery stories||Fiction|
Spot's Busy Year (Spot)	9780399209871	|General||Juvenile Fiction / General||Children's Books/Baby-Preschool||Dogs||Fiction||Play||Children: Babies & Toddlers|
Dickens Studies Annual 	9780404185251	|Modern fiction||Short stories||Short Stories (single author)||Fiction|
Nadeem Makes Samosas (Duets)	9780237601553	|Culture & customs||English||English language readers||Modern languages: readers & reading schemes||Multiculturalism||Fiction|
Stage Fever	9780241110737	|Fiction||Performing Arts - General||Children's 12-Up - Fiction - General|
Nightshade	9780425219560	|Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Women Sleuths||Fiction / Mystery & Detective / General||Mystery & Detective - General||Bayles, China (Fictitious character)||Herbalists||Texas||Women detectives|
Bad Boys	9780425221952	|Fiction / Westerns||Westerns - General||American Western Fiction||Fiction||Fiction - Western||Westerns|
A Hugs-And-Kisses Family	9780263163339	|Romance||Romance - General||Fiction||Fiction - Romance||Romance: Modern|
Accidental Rendezvous	9780263171648	|Romance||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary|
Playful Puppies (Animal Babies)	9780439219532	|Animals - Dogs||Animals - Pets||Juvenile Fiction||Children's Baby - Boardbooks||Dogs||Fiction||Puppies||Stories in rhyme||Children: Grades 3-4|
Meet the Martians (Butt-Ugly Martains)	9780439399340	|General||Juvenile Fiction||Children's 4-8 - Fiction - General||Extraterrestrial beings||Fiction||Science fiction||Children: Grades 1-2|
Suite Scarlett	9780439899277	|Love & Romance||Social Issues - Friendship||Juvenile Fiction / Social Situations / Friendship||Juvenile Fiction||Children's Books - Young Adult Fiction||Authorship||Family life||Fiction||Hotels, motels, etc||New York||New York (State)||Children: Young Adult (Gr. 7-9)|
BATMAN	9780441016136	|American Contemporary Fiction - Individual Authors +||Fiction||Children's Books/Ages 9-12 Graphic Novels||Movie/Tv Tie-Ins||Media Tie-In - General||Fiction / Movie or Television Tie-In|
Bad Boy Brawly Brown	9780446198226	|Mystery & Detective - Series||Fiction / General||General||Fiction||Fiction - Mystery/ Detective|
Promise Me Paradise	9780446309981	|General||Romance - General||Fiction||Fiction - General||Romance: Regency|
A Superhero Day (Powerpuff Girls)	9780307101488	|Action & Adventure - General||Juvenile Fiction||Children's 4-8 - Boardbooks||Adventure and adventurers||Fiction||Heroes||Monsters||Children: Preschool|
Disney's the Little Mermaid	9780307123930	|General||Preschool Picture Story Books||Children's Baby/Preschool||Collectors and collecting||Fiction||Mermaids||Mermaids and mermen||Children: Preschool|
I Want to be a Doctor	9780307126252	|General||Juvenile Fiction / General||Medicine: General Issues||Preschool Story Books||Children's Baby/Preschool||Accidents||Fiction||Grandmothers||Medical care||Physicians||Children: Preschool|
Things That Go	9780307200617	|Juvenile Fiction||Children's Baby - Boardbooks||Children: Preschool||Transportation - General||Juvenile Nonfiction / Activity Books||Humorous Stories||Fiction||Specimens||Toy and movable books||Transportation||Vehicles|
The Color Kittens	9780307302175	|Animals - General||Juvenile Fiction / Animals / General||Animals - Cats||Juvenile Fiction||Children's 4-8||Cats||Color||Fiction||Children: Preschool|
Lady Macbeth	9780307341747	|Fiction||Fiction - Historical||Historical - General||Fiction / Historical||11th cent.||Gruoch,||King of Scotland,||Macbeth,||Queen, consort of Macbeth, King of Scotland||Queens||Scotland|
River of Heaven	9780307381248	|Fiction||Fiction - General||General||Fiction / Literary||Literary||Bachelors||Secrets|
Fifty Percent Off	9780312094652	|General||American First Novelists||Popular American Fiction||Fiction - General||Humorous stories||Love stories||Fiction|
Escape from Film School	9780312267315	|Modern fiction||General||Fiction / General||Fiction||Fiction - General|
Guardians 15/snake eyes	9780515104073	|Men's Adventure||Fiction - Men's  Adventure||Fiction|
My First Hippo (Bath Books)	9780525690528	|Bath books||Children's stationery & miscellaneous items||Fiction||General||Juvenile Fiction||Children: Grades 2-3|
Sixtonian	9780533094738	Fiction
Hippopotomus and Other Stories	9780533120574	|Fairy Tales, Folklore & Mythology||Fiction||Literature: Folklore/Mythology|
Atlantic City Kitty	9780533125937	|General||Fiction|
The Dark Tides	9780533131181	|Thrillers||Fiction|
Blood On The Rising Sun	9780533132614	|Literary||Fiction|
Take Me Down to Jr's Place	9780533145904	|General||Fiction|
Are You Crazy, or What	9780533147168	|General||Fiction|
The Worshippers	9780333270301	|English literature: fiction texts||Fiction|
Red Bleeds the Sun	9780722325513	|General||Fiction||Fiction - General|
Holiday Chaplet Of Stories	9780548312025	|Short Stories (single author)||Fiction|
Robert Orange	9780548346969	|General||Fiction|
Royal Angus V1	9780548349373	|General||Fiction|
Spellbinders	9780548373415	|General||Fiction|
My Life In The Army	9780548377932	|Literary||Fiction|
Song of Erin	9780736923521	|Christian - Romance||Christian - General||Christian - Historical||Fiction||Fiction - Religious||Christian fiction||Irish Americans||New York (N.Y.)|
The Labyrinth Book 1	9780738800783	|Modern fiction||General||Fiction / General||Fiction||Fiction - General|
In The Shadow of the Temple	9780738815107	|General & Literary Fiction||Romance||General||Fiction||Fiction - General||Romance: Modern|
Trumpet Call	9780738819433	|General & Literary Fiction||Modern fiction||General||Fiction||Fiction - General|
The Mystery of Darkson House	9780738833507	|Crime & mystery||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense|
Monah	9780738837949	|Historical fiction||Modern fiction||Historical - General||FICTION / Historical||Fiction||Fiction - Historical|
The Diner Under the El	9780738855530	|General & Literary Fiction||Modern fiction||General||Fiction||Fiction - General|
Kama Kameez	9780738860916	|Historical fiction||Historical - General||FICTION / General||General||Fiction||Fiction - Historical|
The Wizard of Wishes	9780738866246	|Fiction||Visionary & Metaphysical||General||Juvenile Fiction||Fiction - General||Children: Grades 2-3|
Postman Pat Paints a Ceiling	9780340704073	|Character books||Fiction||Juvenile Fiction||Children's Books/All Ages||Children: Grades 2-3||Business, Careers, Occupations||CHILDREN'S FICTION||Juvenile Fiction / Business, Careers, Occupations||POSTAL SERVICE_FICTION||General|
Beat the Bully	9780340806050	|Fiction||School & Education||Juvenile Fiction||Children: Grades 2-3|
April morning	9780553133813	|Fiction||History||Massachusetts||Revolution, 1775-1783|
The Treasure in the Garden (Paradise House)	9780575060814	|Fiction||Children: Grades 2-3|
The Night Watchman	9780738899145	|General & Literary Fiction||Modern fiction||General||Fiction||Fiction - General|
The Sister	9780739366738	|General||Fiction / General||Fiction||Abridged Audio - Fiction/General|
Mystic's Almanac	9780741432117	|Science Fiction - General||Fiction||Science Fiction|
CODE NAME	9780345351159	|General||Non-Classifiable||Children's Books - Young Adult||Adventure and adventurers||Espionage||Fiction|
Now And Forever	9780373030569	|Fiction||Fiction - General||Romance: Regency||General||Non-Classifiable||Romance - General|
Flowers for Mrs. Harris	9780582530249	|ELT graded readers||Short Stories||Children's Baby - Fiction - General||Fiction|
Odyssey of Innocents	9780595004775	|Historical fiction||Historical - General||Fiction - Historical||Fiction|
Karpstein Was Hiding	9780595095209	|General & Literary Fiction||General||Literary||Fiction||Fiction - General|
The Calabash Boys	9780595098255	|Crime & mystery||General||Mystery & Detective - General||Fiction||Fiction - General||Mystery/Suspense|
An Unpublished Writer	9780595128174	|General & Literary Fiction||General||Literary||Fiction||Fiction - General||Literature: Classics|
Future Perfect (Dancefutures)	9780595128860	|General & Literary Fiction||Modern fiction||Fiction||Children's 12-Up - Fiction - General||Performing Arts - Dance||Friendship||Juvenile Fiction / Performing Arts / Dance||Pen pals||Juvenile Fiction||Social Situations - Friendship||Dancers||Intercultural communication||Russia (Federation)||United States||Young Adult||Ballet||General|
Slow Dance With a Dead Man	9780595136988	|Espionage & spy thriller||Espionage/Intrigue||Suspense||General||Fiction||Fiction - Espionage / Thriller|
Rory	9780595150113	|Historical fiction||Fiction||Fiction - Historical||Romance: Modern||Historical - General||Romance - Historical||Victoriana||Romance - General|
Dragon's Mount	9780595161089	|General & Literary Fiction||General||Suspense||Fiction||Fiction - General||Mystery/Suspense|
The Romantist	9780595166466	|General & Literary Fiction||General||Romance - Adult||Fiction||Fiction - General||Romance: Modern|
Bears in the Plum Tree	9780595227358	|General & Literary Fiction||General||Fiction||Fiction - General|
The Black Onyx Ring	9780595231799	|General & Literary Fiction||General||Fiction||Fiction - General|
The homegoing	9780595272402	|African American families||Family reunions||Fiction||Murder|
Icetopia	9780595309535	|General & Literary Fiction||Suspense||Action & Adventure||Science Fiction - General||Fiction||Fiction - Espionage / Thriller||Science Fiction|
