Title	ISBN	Subjects
Heartland	9781921787393	Fiction
Short bus hero	9781938644214	|Down syndrome||Fiction||People with disabilities||Wrestlers||Wrestling||Lottery winners||Syndrome de Down||Romans, nouvelles||Personnes handicapées||Lutteurs||Lutte||Gagnants à la loterie|
Bloody point	9781628999679	|Women detectives||Fiction||Government investigators||Crimes against||Seaside resorts||Widows||Large type books||Inspectrices de police||Romans, nouvelles||Enquêteurs de la fonction publique||Crimes contre||Stations balnéaires||Veuves||Livres en gros caractères||Large print books|
Desert islands and Robinson Crusoe		|Islands||Fiction||History and criticism||Robinson Crusoe (Defoe, Daniel)|
The root and the flower		|History||Fiction||Kings and rulers|
Floodwater	9781480804784	|Science fiction||Global warming||Fiction||Réchauffement de la Terre||Romans, nouvelles|
Black, Red and Deadly	9781681792576	|Crime||United states, history|
Girl sent away	9780983150572	|Shock incarceration||Fiction||At-risk youth||Camps||Fathers and daughters||Prisons-chocs||Romans, nouvelles||Jeunes difficiles||Colonies de vacances||Pères et filles|
Common Creed : Trafficking : T.E.G. Presents : Common Creed	9780578719900	|Fiction, mystery & detective, general||Crime|
Welcome to Treeville	9780439666817	|Juvenile fiction||Santa Claus||Fiction||Christmas trees||Christmas|
Catalyst	9780553295405	|Vigilantes||Fiction||Membres de groupes d'autodéfense||Romans, nouvelles|
Only hope	9781468005639	|Mental illness||Fiction||Missing persons||Maladies mentales||Romans, nouvelles||Personnes disparues|
Too much of a good thing	9780062268464	|Married women||Fiction||Spouses of clergy||African American women||African American clergy||Femmes mariées||Romans, nouvelles||Clergé||Conjoints||Noires américaines||Clergé noir américain|
The sin slayer	9780979164286	|Murder||Fiction||Serial murders||Meurtre||Romans, nouvelles||Meurtres en série|
American Judicial Injustice	9798986416403	|Crime||Education|
The chocolate war	9781439518755	|Bullying||Fiction||Power (Social sciences)||Revenge||American Young adult fiction||Intimidation||Romans, nouvelles||Pouvoir (Sciences sociales)||Vengeance||Roman pour jeunes adultes américain|
The threefold garland	9780330371568	|Death||Fiction||Bereavement||Christianity||Mort||Romans, nouvelles|
Jackie Tempo and the Ghost of Zumbi	9781440176883	|Teenagers||Fiction||Time travel||Mothers and daughters||Slavery||History||Adolescents||Romans, nouvelles||Voyages dans le temps||Mères et filles||Histoire|
An angel's redemption	9781612177892	|Man-woman relationships||Fiction||Nineteen twenties||Physicians||Relations entre hommes et femmes||Romans, nouvelles||Années vingt (Vingtième siècle)||Médecins|
Unrevealed	9780615774640	|Adventure stories||Fiction|
Shadows of death	9781613181461	|Murder||Fiction||Meurtre||Romans, nouvelles|
A needle and a haystack	9781456620059	|Women detectives||Fiction||Married women||Divorced women||Bakers||Murder||Investigation||Female friendship||Teenage boys||Cooperative societies||Inspectrices de police||Romans, nouvelles||Femmes mariées||Femmes divorcées||Meurtre||Enquêtes||Amitié féminine||Garçons adolescents||Coopératives|
Sam, who was swallowed by a shark	9781564029553	|Rats||Juvenile fiction||Sea stories||Fiction||Romans, nouvelles, etc. pour la jeunesse||Récits de mer|
Housemaid heiress	9780373305391	|Runaways||Fiction||Aristocracy (Social class)|
Arthur and the popularity test	9780606169745	|Popularity||Fiction||Schools||Human behavior||Aardvark|
Until the day break, a novel of the time of Christ		|Fiction||History of Biblical events||Bible|
Love it when you come, hate it when you go	9781845232368	|Fiction||Romans, nouvelles|
Passing through (the sixties)	9781523728275	|Political activists||Fiction||History||Social change||Activistes||Romans, nouvelles||Histoire|
What the owl saw	9781497352926	|Private investigators||Fiction||Murder||Investigation||Thoroughbred horse||Breeding|
The gathering of shadows	9780995636552	|Devil||Fiction||Demonology||Books||Quests (Expeditions)||Démon||Romans, nouvelles||Démonologie||Livres||Quête|
Ghost moon	9781907773778	|Dementia||Fiction|
The doves of Ohanavank	9781499582741	|Human trafficking||Fiction|
Nurjahan		Fiction
The house next to the factory	9789354229282	|East Indians||Fiction||Indiens (Habitants de l'Inde)||Romans, nouvelles|
God still don't like ugly		|African American women||Fiction||Fathers and daughters||Female friendship|
Devereux		|Fiction||History|
Learning how	9781933964461	|American fiction||Short stories||Fiction||Social life and customs|
The Scottish chiefs		|Fiction||History|
Red as a rose is she		|Marital conflict||Fiction|
Frankenstein, or, The modern Prometheus		|Fiction||Scientists||Monsters|
Elizabeth, or, The exiles of Siberia		|Exiles||Fiction||Filial piety||English Chapbooks|
Time of the Peacock	9780207177958	|Fiction||Asian studies||Multicultural issues|
Dance of Death	9780732283445	|Fiction||Mystery and detective||Fiction, mystery & detective, general|
Bealport	9781912208005	|Small cities||Fiction||Working class families|
Waverley, or, 'Tis sixty years since		|Jacobite Rebellion, 1745-1746||Literature and the rebellion||Fiction||History|
The bull from the sea		Fiction
Henderson, the rain king		|Americans||Fiction||Travel|
The chamber of death, or, The fate of Rosario		|Sixteenth century||Fiction||Death|
The wanderer welcomed home		|Christian life||Fiction||Redemption|
The fat plan	9781846271472	|Overweight men||Fiction||Transcription|
Under Drakes's flag		Fiction
Defense in University City		|Fiction||History|
Pepi and the golden hawk		|Fiction||History||Egyptians||Adventure and adventurers||Animals|
Greenstick Fracture	9781643963143	Crime
Disquiet	9780241015322	|Fiction||Children||Death||Abused wives||Families||Bereavement||Australian Domestic fiction|
Killing It from a to Z	9798986287577	|Wit and humor||Crime|
Kamikaze	9798889000112	|Fiction, mystery & detective, general||Crime|
Gulliver's travels		|Fiction||Imaginary Voyages||Early works to 1800||Fantasy||Voyages imaginaires||Ouvrages avant 1800|
The wizard king		|Juvenile fiction||History||Fiction|
Illicit and Illegal in Regional and Urban Governance and Development	9781315317656	|Political corruption||Regional planning||Urban policy||Crime|
Publish and Perish	9798990014626	|Fiction, general||Crime|
Absolute Justice	9781940395456	Crime
A Century of November	9780472031221	|First World War fiction||Historical - General||Fiction||Fiction - Historical||Fiction / Literary||Literary||Belgium||Canadians||Loss (Psychology)||World War, 1914-1918|
Leavenworth Case	9780486238654	|Mystery/Suspense||Fiction - Espionage / Thriller||Espionage/Intrigue||Crime & mystery||Fiction||Detective and mystery stories|
Hero	9780670834853	|India||Fiction||Motion picture industry|
The Two Front War	9780671013974	|Science Fiction - Star Trek||Fiction - Science Fiction||Fiction||Science Fiction - General||Fiction / Science Fiction / General||Science fiction|
The Theft	9780671018870	|Romance - Regency||Fiction||Fiction - Romance||Romance: Historical||Romance - Historical||Fiction / Romance / Historical|
Don't Say You Love Me: Sarah	9780671024529	|Social Issues - Adolescence||Juvenile Fiction||Children's 12-Up - Fiction - General||Children: Young Adult (Gr. 7-9)||Social Issues - Dating & Sex||Movie Tie - In||Juvenile Fiction / Movie or Television Tie-In||Fiction||Mothers and daughters|
Body Bags	9780671034924	|Crime & mystery||Law & Crime||Juvenile Science (General)||Juvenile Nonfiction||Children's 12-Up - Fiction - Mystery||Science & Nature - Anatomy & Physiology||Children: Young Adult (Gr. 7-9)||Mystery fiction||Mysteries, Espionage, & Detective Stories||Juvenile Fiction / Mysteries & Detective Stories||College students||Fiction||Mystery and detective stories|
The Legion of Space	9780671466831	|Science Fiction - General||Fiction / Science Fiction / General||Fiction||Fiction - Science Fiction||Science Fiction|
Miss Ellie's Purple Sage Saloon	9780671519094	|Romance: Historical||Fiction||Fiction - Romance||Fiction / General||Romance - Historical|
Guardians 03/thunder	9780515090345	|Espionage/Intrigue||Fiction - Espionage / Thriller||Fiction|
The Cat Who Sniffed Glue	9780515099546	|Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Cat Sleuths||Mystery & Detective - Series||Fiction / Mystery & Detective / General|
California Eagles (Baynes Clan)	9780515117257	|Westerns||Fiction - Western||Fiction||Westerns - General||Fiction / General|
In the Midnight Hour (Haunting Hearts)	9780515124835	|Romance - Historical||Fiction||Fiction - Romance||Romance: Historical||Romance - Contemporary|
Cher's Guide To...whatever (Clueless ): Cher's Guide To...whatever (Clueless)	9780671568658	|Teenage girls||Juvenile Nonfiction||Conduct of life||Children's Books - Young Adult Fiction||Children: Young Adult (Gr. 7-9)||Juvenile humor||Fiction||Performing Arts / Film / General||Television||General||American wit and humor, Juvenile||High school students|
FIERY HEARTS (Tapestry, No 87)	9780671617097	|Romance: Regency||Fiction||Fiction - Romance||FIC027000||FIC||Fiction / Romance / General||Romance - General|
The BRAVADOS	9780671662127	|Westerns - General||Fiction / Westerns||Fiction||Fiction - Western||Westerns|
Clear and Present Danger Cassette	9780671689292	|General||Fiction / Suspense||Modern fiction||Fiction||Abridged Audio - Fiction/General||Audio - Fiction - General|
A Clear Case of Murder	9780671722180	|Mystery and detective stories||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||Mystery & Detective - General|
PARIS CONNECTION (NANCY DREW HARDY BOY SUPERMYSTERY 6): PARIS CONNECTION (Nancy Drew & the Hardy Boys Super Mystery Series)	9780671746759	|Mysteries, Espionage, & Detective Stories||Juvenile Fiction / General||Fiction||Children's 12-Up - Fiction - Mystery||Mystery and detective stories||Paris (France)||Children: Young Adult (Gr. 7-9)|
Emmeline	9780671816810	|General||Non-Classifiable||Fiction||Fiction - General|
The Diablo Grant	9780671871420	|Westerns - General||Fiction / Westerns||Fiction - Western||Fiction|
Beyond The Borders	9780671877422	|Fantasy||Science fiction||American Science Fiction And Fantasy||Fiction - Fantasy||Fantasy - General||Non-Classifiable||Fiction|
Bolo Brigade	9780671877811	|Science Fiction||Science Fiction - Adventure||Fiction||Fiction - Science Fiction||Science Fiction - Military||Science Fiction - High Tech||Fiction / Science Fiction / General|
Blubb and the Amazing Morphing Machine	9780671888060	|Fiction||General||Children's Books/Ages 9-12 Fiction||Children: Grades 3-4||Juvenile Fiction / Action & Adventure||Machinery||Science fiction||Children's 9-12|
The Secret History	9780517166307	|Fiction||SALE BOOKS||Fiction / General||Fiction - General|
Summer of Katya	9780517548295	|Salies-de-Bâearn (France)||Romantic suspense novels||Nonfiction - General||Physicians||Salies-de-Bearn (France)||Non-Classifiable||Sale Books||Fiction||Pays Basque (France)|
Party (It's Great to Read)	9780517560266	|General||Non-Classifiable||Sale Books||Costume||Fiction||Children's All Ages||Parties|
GROVER LEARNS TO READ	9780679839491	|Children: Grades 1-2||Non-Classifiable||Juvenile Fiction||Fiction||Puppets||Children's stories, American||Reading|
The Salamander Room	9780679861874	|Early learning / early learning concepts||Salamanders||Children: Kindergarten||Children's Books/Ages 4-8 Fiction||Animals - Reptiles & Amphibians||Juvenile Fiction / Animals / Reptiles & Amphibians||Ecology||Fiction|
No Howling in the House	9780679973652	|Readers - Beginner||Fiction||Children's 4-8||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Social Situations - Self-Esteem & Self-Reliance||Humorous Stories||Juvenile Fiction / General||Monsters|
A Whisper of Blood	9780688103613	|Vampires||American Horror Fiction||Fiction - Horror||Horror||Fiction||Horror tales, American||Short stories|
The Doomsday Conspiracy	9780688104443	|Fiction - General||Fiction||General|
El Senor Presidente (El Senor Presidente Txt 211)	9780689705212	|General||Fiction - General||Fiction|
CELESTE	9780689821004	|Juvenile Fiction||Teddy bears||Fiction||Children's 4-8 - Picturebooks||Toys, Dolls, & Puppets||Sports & Recreation - Miscellaneous||Children: Grades 2-3||Picnicking||Humorous Stories||Action & Adventure||Action & Adventure - General||Juvenile Fiction / Social Situations / Friendship||Animals - Farm Animals||Toys||Ducks|
Prairie Skies	9780689843495	|Juvenile Fiction||Prairies||History - United States/19th Century||Juvenile Easy Readers||Slavery||Children's Books/Ages 4-8 Fiction||Moving, Household||Children: Grades 2-3||Children: Grades 3-4||Law and legislation||Family - General||Historical - United States - 19th Century||Readers - Chapter Books||Juvenile Fiction / Historical / United States / 19th Century||Fiction||Frontier and pioneer life||Homesickness||Kansas|
Blowfish Live in the Sea (Aladdin Fiction)	9780689862502	|Juvenile Fiction||Fiction||Fox, Paula||Children's Books/Ages 9-12 Fiction||Children: Grades 4-6||Social Issues - Drugs, Alcohol, & Substance Abuse||Family - Siblings||Family - Stepfamilies||Juvenile Fiction / Family / Siblings||Father-son relationship||Fathers and sons||Children's 9-12 - Fiction - General|
Tricks and Treats (Teenage Mutant Ninja Turtles (8x8))	9780689870583	|Haunted houses||Movie Tie - In||Fiction||Preschool Picture Story Books||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Children: Kindergarten||Heroes||Halloween||Action & Adventure - General||Animals - Turtles||Comics & Graphic Novels - Superheroes||Juvenile Fiction / Movie or Television Tie-In|
Bearstone	9780689870712	|Social Issues - Self-Esteem & Self-Reliance||People & Places - United States||Indians of North America||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Young Adult (Gr. 7-9)||Ute Indians||People & Places - United States - Native American||Juvenile Fiction / People & Places / United States||Fiction|
Peace in War, a Novel	9780691099262	|Unamuno, Miguel de,||Spanish Prose||Fiction - General||Fiction||General||Other prose: from c 1900 -||1864-1936||Translations into English|
