Title	ISBN	Subjects
Close to home	9780373875610	|Fund raising||Faith||Man-woman relationships||Fiction||Christianity|
Running to paradise	9781892668240	|Fiction||Runners (Sports)||Priests||New York City Marathon||Marathon running|
No compromise	9781583142707	Fiction
He say, she say	9780446605700	|Young women||Man-woman relationships||African Americans||Fiction|
Artifact	9780312930486	|Science fiction||Mycenae||Antiquities||Fiction|
THE DREAM	9781551660615	|Real estate development||Fiction|
Sir Lancelot, where are you?	9780448419794	|Knights and knighthood||Trolls||Juvenile fiction||Witches||Fiction|
CareBears	9780439603188	|Care Bears (Fictitious characters)||Juvenile fiction||Friendship||Fiction|
Halide's gift	9780375505119	|Spiritualists||Women||Sisters||Mothers and daughters||History||Fiction|
Ricky Ricotta's giant robot vs. the mutant mosquitos from Mercury	9780590307222	|Juvenile fiction||Fiction||Mice||Robots|
Clue me in!	9780439207270	|Teachers||Lost and found possessions||Scientists||Schools||Theft||Stealing||Fiction|
The enlightened gardener revisited	9781551051581	|Gardeners||Psychologists||Americans||Theosophy||Fiction|
A match for Celia	9780373099672	|Undercover operations||Fiction|
People of the moon	9780765308566	|Prehistoric peoples||Fiction|
Tiger magic	9780060010195	|Chinese Americans||Juvenile fiction||Magic||Phoenix (Mythical bird)||Fiction|
Amalee	9780439395632	|Sick||Juvenile fiction||Friendship||Single-parent families||Single parent families||Fiction|
Good luck on your downward journey	9780911506181	Fiction
Merciless	9780345492418	|Police||Serial murders||Fiction|
The mystery of the black raven	9780807529898	|Detective and mystery stories||Brothers and sisters||Juvenile fiction||Mystery and detective stories||Orphans||Fiction|
Back-to-school fright from the Black Lagoon	9780545072212	|Anxiety||Elementary schools||Schools||Juvenile fiction||School children||Fiction|
The fox that wanted nine golden tails	9780241019207	|Fairy tales||Foxes||Fiction|
Murder at the Pentagon	9780449219409	|Women art dealers||Annabel Reed-Smith (Fictitious character)||Fiction||Pentagon (Va.)||Law teachers||Mac Smith (Fictitious character)|
