Title	ISBN	Subjects
The Kings Gold	9780060891091	|General||Fiction / General||Fiction||Fiction - General|
Return of the Rogue	9780061375439	|Fiction||Fiction - Romance||Romance: Historical||Romance - Historical||Fiction / Romance / Historical|
Last Days of Summer Updated Ed	9780061564819	|Humorous||Fiction / Humorous||Fiction||Fiction - General|
Quattrocento	9780061565489	|General||Fiction / General||Fiction||Fiction - General||Spanish: Adult Fiction|
You Belong to Me	9780140360165	|General||Fiction||Fiction - General|
The Finnish Line (S.A.S.S.)	9780142409169	|Juvenile Fiction||Children's 12-Up - Fiction - General||Children's Books/All Ages||Children: Young Adult (Gr. 7-9)||Family - General||Girls & Women||Love & Romance||People & Places - Europe||School & Education||Sports & Recreation - Winter Sports||Juvenile Fiction / Family / General||Social Issues - Values||Competition (Psychology)||Fiction||Foreign study||Ski jumping|
Selected Stories	9780143062202	|Short stories||General||Fiction / General||Fiction||Fiction - General|
PM Storybooks (Progress with Meaning)	9780174025115	|English language readers||Fiction||For National Curriculum Key Stage 1||For National Curriculum Key Stage 2|
PM Storybooks (Progress with Meaning)	9780174025177	|English language readers||Fiction||For National Curriculum Key Stage 1|
Alison and the Prince	9780195206432	|Fiction||Princes||Princes and princesses||Children: Babies & Toddlers|
Owl Moon	9780399247996	|Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Animals - Birds||Classics||Nature & the Natural World - General||Juvenile Fiction / Animals / Birds||Father and child||Fiction||Owls|
Green Turtle	9780207196904	|Picture books||Juvenile Fiction||Children's 4-8 - Picturebooks||Children: Grades 1-2||Animals - Turtles||Juvenile Fiction / General||Folklore||General||Fiction||Grandfathers||Green turtle||Turtles|
Mischief	9780233987132	|Modern fiction||Popular English Fiction||Fiction|
The Second Life Herald	9780262122948	|Computer games||Computers||Computers - General Information||Computer Books: General||Social Aspects - General||Video & Electronic - General||Virtual Reality||Computers / Social Aspects / General||Social Aspects - Human-Computer Interaction||Avatars (Computer graphics)||Computer programs||Fiction||Second Life (Game)||Tabloid newspapers|
The Divorcee Said Yes!	9780263155617	|Romance||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary||Romance - General|
Fantasy for Two	9780263156744	|Romance||Fiction||Fiction - Romance||Romance: Historical||Romance - General||Romance - Historical|
