Title	ISBN	Subjects
Oz	9781935971573	|Crime||Fiction, fantasy, general|
Hood Driven III	9780578918808	|Crime||Fiction, action & adventure|
Forensic Social Work	9781960131126	|Fiction, short stories (single author)||Crime|
The fair Hebrew, 1729		|Jews||Fiction|
Last Shot	9781962080019	|Crime||Fiction, mystery & detective, general|
Game Piece	9798988997276	|Fiction, mystery & detective, general||Crime|
Politics of Annihilation	9781452959672	|Genocide||Crime|
Cha Cha Babes Dance with the Devil	9798986618876	|Fiction, thrillers, general||Crime|
Leaving Gaza	9781425132453	|Self-actualization (Psychology) in women||Fiction|
The dead don't weep	9780973348071	|Crime||Fiction||Detective and mystery stories|
Vow of silence	9780979841347	|Memory||Fiction||Imaginary places|
The posthumous papers of the Pickwick Club		|Men||Societies and clubs||Fiction||Social life and customs|
Cutler's Friend	9798985940916	|Crime||Fiction, mystery & detective, general|
United States of True Crime : Delaware	9781957059211	|Crime||United states, history|
Recipes to Die For	9798990005907	|Cooking||Crime|
Hundred Proof	9781962931113	|Fiction, short stories (single author)||Crime|
The endless pavement		|Fantasy||Science fiction|
Gatalop the wonderful ball.		Fantasy
The Call of the Wild (Whole Story)	9780670867967	|Animals||Classic fiction||Social Studies||World history: c 1500 to c 1900||Pet theft||Children: Young Adult (Gr. 7-9)||Action & Adventure - General||Children's Books/Ages 9-12 Fiction||Klondike River Valley (Yukon)||Fiction||Classics||Juvenile Fiction / Classics||Animal welfare||Feral dogs|
Two for the Dough (Stephanie Plum Series #2)	9780671001797	|Mystery & Detective - Women Sleuths||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / General||Mystery & Detective - Series|
The Mist	9780671014711	|Science Fiction||Fiction||Fiction - Science Fiction||Science Fiction - Star Trek||Fiction / Science Fiction / General||Science Fiction - General|
A RED DEATH (Easy Rawlins Mysteries	9780671019846	|Mystery & Detective - Hard-Boiled||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / General||Mystery & Detective - General|
Heart's Desire 	9780671023904	|Romance||Short stories||Romance - Contemporary||Fiction - Romance||Fiction||Romance: Modern||Short Stories (Anthologies)||Romance - General||Fiction / Romance / General||Love stories||Love stories, American|
BLOODED ARACHNE (Timescape Book)	9780671413194	|Science Fiction - General||Fiction / Science Fiction / General||Short stories||Fiction - Science Fiction||Fiction|
